,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-07-12-00,1.5920742150715863,0.978801670260219,0.7057258951102848,1.6333789395276075,0.9850796801782693,2.99598537533502,0.9158489675295367,1.98218698921012,0.6201950625342342,1.859846753573382,2.1249247073763455,0.6331308343279313,2.317106088501376,0.7484156685607632,1.4928625213263933,0.9081839407892877,2.6411701527727858,2.134421281537481,0.732840183002514,0.732840183002514,1.0480724606841607,0.9060304702871123,0.9828028612386812,3.8403715535298213
2021-07-12-01,0.7886087556449333,2.0426677512103804,0.8748363888249787,2.0908856274647283,0.7202371212893998,3.6682212393141485,0.8657515136608745,1.890891805492642,1.8072536937964452,1.478772857312058,2.9085104219713203,0.6597140554235247,2.086829254555858,0.44326755367806414,0.30992472446830416,0.6995826269394866,2.878040848300525,3.337292519157282,1.2130878286219178,0.9097814700809782,1.894180768922955,1.0147591502944164,0.6493466717740091,4.02338385984457
2021-07-12-02,1.7713989640572685,2.5383664328905504,1.7713989640572685,3.3760488644379785,0.6311681071028005,3.8776812670532035,0.5299699710025623,2.31392505142342,2.6464946960416347,5.279906714066525,3.551947031223322,1.442848990056939,4.176759778405153,1.3844345271742364,0.6247660226879184,0.9335401798809814,2.531201425319899,2.949750722816424,1.470314501772959,0.7923132601034532,1.7260421600862552,1.8109862813920847,1.52964387183231,4.3721564560957145
2021-07-12-03,1.5847849608992497,3.064697163842685,1.404727234226354,3.825671418359546,1.5506047991458953,4.612436130009727,0.9350718820561408,3.526882022622534,2.9527105488969627,6.1412337792152085,4.401670892478035,2.305103774122741,5.586554155248667,0.9699707872716005,2.029125569702046,0.9250895137810373,2.3037684631002304,2.739577919405724,2.3044523154365026,2.3044523154365026,2.174695541870249,2.6732072580210295,1.267191006323714,4.466413124502073
2021-07-12-04,2.3768363589138195,2.5358042638827274,2.3768363589138195,3.9293797970865363,2.7558981815141,4.133017591702374,3.7659195173822404,4.016651440497322,3.7200119340965445,6.266133410307739,3.7511558879617857,1.963352446831397,5.44948772567617,1.6791151829144806,0.8641113339321393,1.3985188300285196,2.2898998444996925,3.881436238950768,3.956314568472199,3.6852684821559993,1.9469886559882357,3.455345244800107,1.1997762168632848,4.7431829998104105
2021-07-12-05,3.0785403863733034,3.167802739961793,2.2968668872564106,3.9189462411843343,1.994410014891377,4.2369253292385185,2.85083542415304,3.8227313640302207,3.1668739654427007,8.39868200217619,4.134195194134543,2.6923790867795856,3.536670037644546,1.7707011122569998,1.0524320224285564,1.3845305067429305,1.7268491907784924,3.210542790165822,4.441770330719053,4.163690681073922,2.1428820921593523,4.501032650444828,1.4239653568373196,4.512605216266401
2021-07-12-06,3.6507994021268875,4.199561422349533,2.965292700020736,3.783457985068796,0.9932921098368771,4.150705926303987,2.1032059806043746,4.359631596418,3.8028374730262526,5.349970176018252,4.437892106115198,4.5665557901919405,3.762954185336034,3.132576487250159,1.792675117614448,2.114503662233392,0.8314922494120117,2.9101516547302757,4.691724794641817,4.409685071318583,1.937071815641557,4.569828151423789,1.6534469329922163,4.590756667286723
2021-07-12-07,2.2593651633546776,3.6476723081798905,0.4258692935346019,3.4227969634636564,1.3815012749880646,3.7329877121933825,0.48473636566341977,3.448417151378115,4.119117824728161,6.311396163627158,4.701565001148201,5.068097753416829,3.8789798745128303,0.7073066418508118,0.7288557135905473,2.7054994433499635,0.42300391582945995,2.509530261778391,5.145470336690114,4.876027227779349,2.262158764509439,4.775629078930693,1.1092216243943955,4.2505967292571905
2021-07-12-08,0.9697742405875411,2.6104228801441276,0.9697742405875411,3.347880258704247,2.414622462795598,3.888162929147032,1.7984147346924897,4.013603432206194,5.446479290805147,5.505497772272239,4.565403759047124,4.0629089654029515,5.37156575854034,1.627595098790791,0.2836604620204367,3.654503513687107,0.3842614713580268,1.5799504964124513,4.301832230174263,4.1655647015524435,1.8557129618127193,4.195716697934201,0.8826309776664548,3.762987046145084
2021-07-12-09,1.892378632809387,2.6715922065830107,1.892378632809387,3.101021054361644,2.8492277658176564,3.595346565180881,1.848003576064061,3.199526937310256,4.130575451998739,3.832809053658308,4.050173205286538,3.2652733732712527,3.125089621425666,1.3263676675168325,0.41366460137884103,2.3847366538751,0.890926851313874,2.3183091346055975,4.2814769470172545,3.872280069810855,1.5065964660154942,4.582585967004984,1.3254408577795327,3.016924837932745
