,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.0,0.25,1.6,2.2,-7.27%,16.83%
淡水,-0.69,0.82,0.8,1.32,-0.39%,7.44%
竹子湖,-0.15,0.47,0.89,1.58,0.21%,7.34%
基隆,-1.07,1.15,0.61,1.16,1.09%,4.69%
台北,-1.22,1.31,1.01,1.52,-3.25%,6.8%
新屋,-0.18,0.47,0.29,0.78,-0.58%,2.96%
板橋,-1.03,1.14,0.85,1.28,0.71%,5.7%
新竹,-0.24,0.66,1.25,1.68,1.63%,4.29%
宜蘭,-1.02,1.07,0.22,0.77,0.18%,10.15%
蘇澳,-0.81,0.93,0.13,0.79,0.32%,8.25%
overal,-0.64,0.83,0.77,1.38,-0.73%,7.42%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,90.0%,100.0%,100.0%,100.0%
合格站數,10,10,9,10,10,10
