,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-05-13-00,23.6,28.0,22.6,27.7,28.0,26.3,27.3,27.2,27.3,27.5,26.0,26.4,27.9,22.0,14.5,27.6,7.1,26.9,27.1,28.0,28.5,29.6,29.2,28.8
2019-05-13-01,23.2,27.8,25.0,28.9,29.5,27.7,29.3,28.4,28.7,28.4,27.2,28.9,29.0,24.6,16.2,29.8,9.4,27.5,29.3,29.9,29.5,29.8,29.7,29.9
2019-05-13-02,24.0,27.8,26.3,28.7,31.6,27.4,30.4,27.7,29.5,28.1,27.2,30.1,29.9,25.5,15.3,31.8,9.8,27.8,30.9,30.8,29.7,30.0,30.0,31.2
2019-05-13-03,24.3,28.6,26.3,28.8,32.0,26.7,30.5,26.7,29.8,28.7,26.6,31.1,30.0,24.9,15.4,32.4,13.6,29.2,31.8,31.0,29.6,30.8,30.6,31.1
2019-05-13-04,24.6,27.3,26.1,27.2,31.1,27.6,30.9,27.3,31.0,28.4,27.2,31.5,30.9,25.5,17.6,33.0,12.2,28.3,31.7,31.2,30.6,30.7,30.8,31.2
2019-05-13-05,24.3,28.4,26.2,27.8,31.7,27.9,32.3,28.4,30.8,28.8,27.3,32.1,30.5,25.3,17.4,33.9,11.3,28.6,32.0,31.8,30.2,30.8,28.9,31.6
2019-05-13-06,24.9,28.3,26.9,28.0,32.8,27.7,31.9,28.3,29.5,28.7,27.8,32.1,31.1,26.9,16.4,33.3,11.2,28.4,32.0,31.9,29.0,30.8,30.4,31.2
2019-05-13-07,25.2,27.9,26.5,28.1,32.8,26.8,32.4,28.3,28.5,28.5,27.8,32.4,30.7,26.9,15.5,32.7,9.4,28.7,31.5,32.0,27.0,30.6,30.1,30.2
2019-05-13-08,24.6,27.2,26.0,27.3,31.8,26.2,32.2,28.3,28.1,28.1,28.0,32.0,29.1,25.9,14.9,32.9,8.9,28.4,31.0,31.4,26.5,30.9,30.1,30.0
2019-05-13-09,22.7,26.4,25.4,27.2,30.1,25.8,30.5,27.7,28.2,27.5,28.3,30.9,28.3,24.0,14.1,32.1,8.6,28.1,30.7,31.1,26.9,31.1,28.7,29.4
2019-05-13-10,21.5,25.5,23.7,26.4,29.1,24.9,29.0,26.5,27.6,27.0,27.6,29.4,28.3,22.3,13.4,29.6,6.2,27.4,28.9,30.0,27.1,30.3,28.2,28.5
2019-05-13-11,20.3,24.7,22.1,26.0,28.3,23.8,27.6,25.9,26.4,27.2,26.7,28.7,27.8,20.9,12.2,27.7,4.2,26.8,28.4,29.4,27.4,29.6,27.9,28.0
2019-05-13-12,20.2,23.9,22.1,26.1,27.9,23.7,27.6,25.8,25.9,26.3,26.5,28.0,27.6,21.4,11.6,27.0,4.3,26.3,28.1,29.3,26.9,29.0,27.4,27.6
2019-05-13-13,20.6,24.4,21.6,26.0,27.9,23.6,26.2,25.7,25.4,25.5,27.0,27.3,27.1,21.1,11.9,25.3,4.0,26.0,28.0,29.4,27.0,28.6,26.3,27.2
2019-05-13-14,21.2,24.3,21.8,25.4,27.3,23.7,25.8,25.3,25.2,25.2,26.8,26.7,26.5,21.1,11.0,26.2,3.0,25.5,28.0,29.0,27.1,28.5,26.2,27.2
2019-05-13-15,21.2,24.1,22.4,25.3,26.7,23.3,25.2,24.8,24.7,24.9,26.4,25.9,26.0,21.2,10.7,25.9,3.7,25.0,27.9,28.7,27.0,28.4,25.6,26.7
2019-05-13-16,21.2,23.8,22.3,25.0,26.3,23.1,24.9,24.5,24.5,24.4,26.7,26.2,25.2,20.5,10.8,24.5,2.9,24.4,27.5,28.4,26.7,28.3,25.4,26.2
2019-05-13-17,21.0,23.7,22.1,24.9,26.0,23.1,24.6,24.3,25.3,24.3,26.2,25.4,25.3,20.8,11.2,24.0,3.1,24.2,27.1,27.9,26.2,28.0,25.1,26.1
2019-05-13-18,20.8,22.9,21.4,25.0,25.7,23.1,24.1,24.1,24.3,24.4,26.3,25.0,25.0,21.0,11.8,24.1,2.9,24.1,26.8,27.8,25.8,27.6,25.1,25.9
2019-05-13-19,20.3,23.0,21.6,25.0,25.0,23.2,23.9,23.9,24.0,23.9,26.1,24.6,24.5,20.0,11.6,23.5,2.8,23.8,26.5,27.3,25.5,27.6,24.9,25.5
2019-05-13-20,20.3,23.5,21.6,25.0,25.4,23.0,24.3,24.1,23.5,23.7,25.8,24.3,24.2,19.0,10.5,23.3,2.9,23.8,26.0,27.4,25.3,27.2,24.5,25.4
2019-05-13-21,20.2,23.4,21.4,24.5,25.0,23.0,23.9,24.4,23.3,23.3,25.7,24.6,24.3,18.7,10.8,23.0,2.8,23.8,25.6,27.0,25.2,26.7,24.4,25.3
2019-05-13-22,20.2,24.7,21.3,25.2,25.4,23.8,24.4,24.6,24.1,23.9,25.9,25.2,24.2,19.0,10.4,23.6,3.3,24.6,25.8,27.0,25.6,26.8,24.9,26.2
2019-05-13-23,20.4,25.3,21.3,26.5,25.8,24.2,25.5,25.0,26.2,25.9,27.1,26.6,26.3,20.2,11.9,26.4,5.6,27.3,26.7,28.1,26.7,28.4,27.3,27.8
