,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-11-03-00,-999,20,30,130,90,40,70,20,260,320,360,330,240,-999,350,40,220,10,10,340,350,340,240,60
2019-11-03-01,340,30,30,10,70,40,70,20,260,320,350,10,-999,330,190,320,170,20,10,330,60,320,40,30
2019-11-03-02,50,20,30,360,80,40,70,30,230,270,350,40,60,340,340,30,160,40,360,340,50,10,40,20
2019-11-03-03,80,10,20,360,100,40,60,20,230,280,360,10,50,-999,320,10,140,30,10,320,60,310,40,30
2019-11-03-04,100,30,20,10,80,50,70,30,160,280,340,350,70,340,360,10,170,30,10,330,50,290,40,30
2019-11-03-05,130,20,20,20,90,40,60,10,110,320,350,350,20,300,350,10,170,30,10,320,60,310,40,60
2019-11-03-06,-999,30,20,20,90,40,70,20,300,290,350,350,30,360,330,340,170,40,10,310,60,310,40,40
2019-11-03-07,330,20,30,10,110,50,70,30,240,290,360,350,30,290,20,360,180,20,330,310,50,310,30,30
2019-11-03-08,260,20,240,20,80,40,80,20,240,330,350,350,30,-999,70,350,190,10,340,310,50,320,30,20
2019-11-03-09,310,30,210,20,80,40,70,20,240,20,350,350,30,200,80,360,230,20,350,330,50,310,30,40
2019-11-03-10,330,-999,240,10,70,40,80,20,260,10,350,10,20,180,80,360,230,10,10,330,40,310,40,50
2019-11-03-11,330,-999,250,10,40,40,60,30,290,10,350,360,30,160,80,360,210,20,350,330,40,360,30,40
2019-11-03-12,340,-999,230,10,50,50,60,20,270,350,350,10,30,180,70,10,230,10,360,330,20,360,30,40
2019-11-03-13,330,-999,230,10,50,50,60,30,-999,360,360,10,40,170,50,10,230,20,10,330,10,360,30,40
2019-11-03-14,330,-999,230,20,60,40,50,30,-999,10,350,360,30,130,60,350,240,20,360,340,350,350,30,40
2019-11-03-15,330,20,230,30,60,40,60,20,330,250,360,350,40,190,-999,340,260,20,360,330,360,350,30,40
2019-11-03-16,320,30,240,30,90,50,80,30,-999,10,350,20,40,160,80,10,230,20,360,330,360,20,30,40
2019-11-03-17,340,20,200,30,70,40,80,20,360,30,360,10,30,150,120,10,240,10,360,330,350,350,20,40
2019-11-03-18,300,40,240,20,80,40,60,20,-999,20,360,360,30,210,120,20,230,10,10,330,340,360,30,40
2019-11-03-19,320,30,240,20,40,40,60,20,20,10,360,360,30,340,260,20,230,20,10,340,350,350,30,40
2019-11-03-20,300,20,10,20,50,50,60,30,40,50,360,360,30,-999,-999,20,240,30,360,340,330,10,30,30
2019-11-03-21,360,20,40,30,90,40,70,30,10,290,360,10,30,40,190,360,240,20,360,340,340,350,30,30
2019-11-03-22,210,30,330,10,80,40,80,30,250,300,360,360,40,60,260,10,240,20,10,340,350,20,30,20
2019-11-03-23,310,20,350,20,70,40,80,30,260,270,350,10,40,70,180,10,240,10,10,340,340,10,20,20
