,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-10-05-00,22.988677978515625,27.29486083984375,22.3955078125,26.77587890625,28.078338623046875,26.817626953125,27.095855712890625,26.42919921875,25.89923095703125,25.797027587890625,26.925201416015625,26.554412841796875,26.214111328125,22.254150390625,14.908203125,27.462005615234375,8.809295654296875,26.11114501953125,28.476806640625,28.27044677734375,25.77972412109375,27.568145751953125,26.361083984375,27.801727294921875
2019-10-05-01,24.100982666015625,29.25677490234375,24.100982666015625,27.77679443359375,29.680572509765625,27.7506103515625,29.3133544921875,28.16937255859375,27.189666748046875,26.99267578125,27.852630615234375,27.8929443359375,26.96197509765625,23.085296630859375,16.5467529296875,28.456878662109375,9.174591064453125,26.739990234375,29.558441162109375,29.2896728515625,27.42596435546875,29.38189697265625,27.040496826171875,28.2066650390625
2019-10-05-02,24.6375732421875,30.293975830078125,26.772796630859375,28.59912109375,30.8060302734375,29.323822021484375,30.799224853515625,29.360198974609375,28.937713623046875,27.289703369140625,28.9630126953125,29.281890869140625,28.165374755859375,23.634735107421875,16.630706787109375,30.28125,12.119598388671875,27.18927001953125,30.3917236328125,29.9300537109375,28.409088134765625,30.00653076171875,27.223724365234375,28.106109619140625
2019-10-05-03,24.9354248046875,31.491973876953125,27.044677734375,29.1859130859375,32.02972412109375,30.594757080078125,32.110870361328125,30.347076416015625,29.148773193359375,27.388031005859375,29.48443603515625,30.442840576171875,28.872955322265625,23.377838134765625,14.78973388671875,30.627105712890625,12.038055419921875,27.441131591796875,31.098724365234375,30.25335693359375,28.914306640625,29.93768310546875,27.26080322265625,28.2630615234375
2019-10-05-04,26.602508544921875,31.944854736328125,26.99261474609375,29.317535400390625,32.499176025390625,32.255157470703125,32.575469970703125,31.957489013671875,29.42205810546875,27.16668701171875,29.865966796875,31.426727294921875,28.942596435546875,23.429779052734375,14.438323974609375,32.037933349609375,13.47052001953125,27.49700927734375,31.213134765625,30.919342041015625,29.173675537109375,29.99456787109375,27.38262939453125,28.5377197265625
2019-10-05-05,26.2379150390625,31.56317138671875,26.2379150390625,28.6717529296875,32.3017578125,31.023590087890625,32.40118408203125,32.01953125,29.66510009765625,27.2711181640625,29.834442138671875,31.179229736328125,29.1556396484375,26.4031982421875,15.755950927734375,32.396759033203125,13.391143798828125,27.012664794921875,31.197296142578125,31.31011962890625,29.160400390625,29.71478271484375,27.293548583984375,27.7923583984375
2019-10-05-06,23.905242919921875,31.49688720703125,25.9365234375,28.437225341796875,32.12786865234375,30.55694580078125,32.350799560546875,32.118896484375,29.272186279296875,27.022918701171875,29.207916259765625,31.2906494140625,29.2261962890625,26.8433837890625,15.552276611328125,31.797515869140625,11.884674072265625,27.32025146484375,31.761077880859375,30.795013427734375,29.1689453125,29.700897216796875,27.1424560546875,27.70318603515625
2019-10-05-07,23.28741455078125,30.69451904296875,25.21527099609375,27.8079833984375,31.418243408203125,29.754302978515625,31.72479248046875,31.4918212890625,28.76763916015625,26.706512451171875,29.051727294921875,31.064208984375,28.7169189453125,25.951019287109375,15.03460693359375,31.675750732421875,11.97650146484375,26.6666259765625,31.06207275390625,31.06207275390625,28.32611083984375,29.2144775390625,26.88568115234375,27.492034912109375
2019-10-05-08,21.5755615234375,29.505401611328125,24.513336181640625,27.293609619140625,30.145782470703125,28.930328369140625,30.507415771484375,30.3980712890625,27.9725341796875,26.099334716796875,29.128326416015625,30.93048095703125,27.75494384765625,24.352020263671875,14.75372314453125,31.094757080078125,9.2044677734375,26.1834716796875,30.206451416015625,30.206451416015625,28.253448486328125,29.083099365234375,26.3975830078125,27.53759765625
2019-10-05-09,20.8531494140625,28.064208984375,23.42047119140625,26.39813232421875,28.59857177734375,28.076324462890625,29.00042724609375,31.105072021484375,27.060577392578125,25.546905517578125,28.317535400390625,30.0791015625,27.211090087890625,23.011566162109375,14.5928955078125,30.24053955078125,8.36004638671875,26.003173828125,29.183197021484375,29.15777587890625,27.66455078125,28.557769775390625,26.018463134765625,26.698211669921875
