,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-03-06-00,246.12669017420853,143.9823711175147,247.06192722262676,215.82918553666622,307.7537197481644,154.38152141447563,226.6566773882089,100.4435593176359,217.2599540228954,307.54343880857834,66.2646698904469,35.75827274417867,42.20240000363577,158.03563575490915,158.3497805382986,9.904041957026664,148.67664144693282,24.724680724549927,47.99499662230906,67.03548933719324,359.296951300278,7.14824218356091,198.56210870093673,297.1620048566197
2019-03-06-01,249.40028385786144,271.3224470419645,284.19792984234095,253.4273002393364,311.6505447779564,290.4033245776726,249.7053263159027,305.11642987474636,158.94177777094274,275.4507630546805,75.59350278507691,15.576741332473716,80.92161430024447,70.2194050544199,200.62095731863786,12.391475112247747,160.73313141410557,36.25305492179993,21.69783506171808,262.5044811507459,44.84145262258551,337.00960414361464,48.56050649204738,285.7104243170825
2019-03-06-02,326.04928373518203,324.5851109928683,308.216853601069,354.6445552479821,303.7618712098857,347.86561517591906,317.0787330891189,305.71090504363553,349.61051903438795,84.16831968181287,54.22381780813791,0.7160401462450068,94.82627834439504,11.126486449464949,345.6558191594829,309.32555397624276,352.64352914971505,29.58630264059275,328.1019728621626,355.06998475915645,48.301063812859496,279.8906503786324,43.27913564917006,291.968620243223
2019-03-06-03,338.33946477136647,339.0417929729149,320.7885539029371,347.86107123835615,307.1180451270476,345.10905323080493,311.28423548522,322.57829120947497,159.97084755391018,97.90172739788758,355.18986064109197,328.95065815345947,116.95739266836017,332.3172639374421,321.16048936824126,315.3544177999319,167.63503459897169,18.478273218312665,352.2882298984311,299.5072732335941,49.61427368575448,292.4221931181206,38.331834354237856,287.9793908898476
2019-03-06-04,356.1172180239694,358.2132412500589,350.40762388455653,355.6598565475071,312.6232592499421,351.262818639494,338.77603161804444,341.79781249960485,288.451751166305,78.54477913902741,347.2861310069923,339.5417969810587,97.89237862346073,251.2569157469136,294.9155273674003,321.8191467959897,333.92113281579685,33.40380469143764,259.484631317388,262.6106554615915,50.29121271467977,292.98120042026494,40.605185583903875,288.784889245994
2019-03-06-05,358.0734376807486,20.30604337655336,356.33220172233786,2.288095184257884,301.7494523004252,12.59135417530996,334.27731956142355,1.9281266671638946,322.26701615759566,51.08823016260288,359.87912489968943,84.6308857387616,79.27786885979057,300.55152182512035,287.03253118610525,338.78577097513926,149.3330606536823,16.8229576340687,288.4389573830356,290.6992250206599,49.841808958164336,294.57273252041824,50.219531172212726,282.61651016244366
2019-03-06-06,349.8826806469955,9.499980900275204,341.833395232673,358.9954475633748,312.4410415649773,20.76324983278596,340.429742019252,10.258720458342452,346.94747006101284,20.483657095623073,358.0950230681849,129.58301931365548,57.801098007406694,337.7281884112597,320.0820115439859,349.64069608835604,339.51032229800046,20.299084970368,302.49740046448136,302.49740046448136,59.82577179384603,293.1955411517376,50.06333214892845,281.4411672995739
2019-03-06-07,28.883450880174962,19.644288966756932,24.528916902648604,9.172287014048322,285.56185094311076,30.992305688236087,1.796773405233921,16.089952128232596,40.65655800057539,48.136840397268685,22.872498050616628,320.8023332429605,50.39224885499294,39.14901927258671,260.8655702004263,348.56744228548786,151.10304889971286,26.90680294703637,296.24663697193773,296.24955411450355,52.58102615668338,297.82260093126524,30.139578822996782,278.93161764146083
2019-03-06-08,45.84305308922603,17.470908060553143,28.61538410351193,9.06867738576915,29.512382476005428,41.960787682346165,6.5672680805705,29.74163100171154,56.54535832746345,55.53936431752439,19.492993776381127,350.9966255829985,41.13490503311459,52.49292283187074,52.21361376471856,339.7576985567729,337.5476781260414,29.35296129642353,293.76679387872525,299.8468437487876,50.5036638963783,294.3228779159127,31.817107271147194,280.4213107289744
2019-03-06-09,30.332683857580946,43.70837466186697,30.332683857580946,10.27691903184234,44.98381726345053,50.23180037642797,39.89664622732954,33.894293427652286,69.29987561732594,21.783137907515766,28.68338932006378,4.353807776041151,36.77844246851413,91.80563142286769,1.3047639281047623,346.8516054409719,350.88825280115014,22.109194033070935,318.81448891002293,325.16970835380596,46.527834100580776,303.78126156180366,28.85778787816156,287.3542407972445
