,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-08-06-00,3.5899666000623776,1.238544308685213,3.643433732217534,3.57577632344973,4.087682452617927,5.1298609544984375,3.2671398012138217,1.8540012208731766,1.5055090308550658,1.678157378202908,0.6357042383932896,0.3101160661841807,1.6932502331532246,0.9908671576707355,1.6518292554867093,2.1011513291430717,2.1465132651354737,5.202347097549668,0.15453768235951368,0.6548574918561686,2.0536470228151433,2.377987102172716,3.2948671895074253,3.3097143534572973
2019-08-06-01,3.9491977970180248,1.7763692620498597,3.55236667795584,4.0764061964412255,5.148836202796716,5.374904354165123,3.5199409039563783,2.3002139495391254,0.7962296526432172,1.92796203841829,1.6687780944284434,1.7544224306806,2.6986938486657457,1.5035764993317373,2.254271815608731,1.152577069295617,1.8687500543910658,6.292710547387963,1.8653074037319746,1.8653074037319746,2.1988391505017906,2.5866025672203268,4.0472608958182645,3.4725189318886374
2019-08-06-02,4.0432936194622595,2.301977008059131,4.386506580285889,4.50733651035301,4.22175251230148,6.65475247471484,4.884822740857285,2.978984653033814,3.119971665350385,0.7465239638552649,4.333484308781337,2.7141591047977913,3.4832875560110237,0.7460632146963933,1.1400997911277633,1.9681309880482802,1.0569682740504283,6.184627643018753,2.8119320588729484,2.036780333307163,3.2650593394493397,3.524044613409257,4.965184743145298,3.8203695582009054
2019-08-06-03,4.642976156704217,3.548934546508364,5.199864573651633,5.770617209211516,5.64205670965587,6.678950405938014,5.323566497791401,3.726039334013919,3.851208735937086,4.50353332305815,5.436672498628171,3.811115741524053,3.9024249400467994,1.7046745147488487,0.8724906831208049,1.8827922846381868,1.6685015546330997,4.817284212736814,3.7759369820305824,2.9738472905721176,3.7829609269241,4.061303054109419,4.399754332529277,3.1491925810090566
2019-08-06-04,4.109252631275706,3.390790080562996,4.15779776350503,4.824404722830128,5.508503536018491,9.176254002675197,5.282290594491665,5.28744950059755,4.896114537668503,4.836577521235778,5.9817531976950535,4.2443201951560585,4.258851236622777,1.4722298897246755,0.6372617175022522,1.5896517052029198,1.1904308546006566,6.469685470026001,4.023060677892297,3.8393217922962957,4.003850124627406,4.3416594005036195,5.257190823862094,5.016522015232731
2019-08-06-05,4.004982477924903,3.572680756544044,5.195177250162782,5.485364667002993,6.754442159659836,9.043348558501632,5.775073918517905,5.635790985598399,5.004067638504531,3.130394415081339,7.2372381543791455,4.947087383195884,4.832178445661584,1.7155315916816463,0.3697402757822026,3.1635172890391634,1.548513915857506,4.765771796624454,4.555816572030468,4.164699861994466,3.9432363725821302,4.551307779571182,3.6869568282995324,4.099797911290256
2019-08-06-06,4.157738472337584,3.273753043777068,4.232463196947658,4.703540219525291,6.695563287784118,9.552828427223993,5.588580758738562,6.7998139172913605,6.5752946037281275,2.3668011492220122,8.691771029024013,4.118021437958239,4.1327001723246015,1.8740025035619843,1.1065308942557646,3.398610543595876,1.0770960529653615,5.845972394995918,5.038791016654299,4.629059915409577,4.32801086563542,4.326687087447694,3.3737948324241094,4.6309122447875595
2019-08-06-07,4.6112698581028,3.2800585491784564,4.556031584522668,4.891527654820932,6.928994666117095,11.129769030827001,5.723397695003461,7.183232608645199,4.685913715753938,2.778829986967806,9.24004922646803,3.53643927015925,5.296136354491028,2.2333480884503003,0.8564510935553208,1.7108435977033074,1.3950458708431321,3.756928766960135,5.505491759884761,5.505491759884761,3.1448131516476363,4.584330783694119,4.875400424305599,0.20334155187739536
2019-08-06-08,4.975357933434668,3.5175222558215262,5.126434984757145,5.422333393715588,7.64380351338617,8.70621156704961,6.3738735496043,7.92075101754492,4.156689353262271,2.164558514747887,10.416422963554055,2.8809125748397295,3.4161880825093864,0.7629007582087064,0.5758797045632407,2.7643074811119988,2.6891684461098397,5.445877759991875,4.3194888954395845,3.5623045442036805,4.898569642429653,3.5202672613309263,4.439199490804221,3.696719026146924
2019-08-06-09,4.318875758453896,2.1568288709134706,4.1056950808279105,4.17708125699778,6.368095662306717,8.873113244658795,5.437014123402819,7.152651948151046,3.316475005999663,2.0764366483237,8.149060316591061,3.3819552779366604,4.019836933801981,2.0733939611931604,0.8329529403180391,2.053227369067644,2.0319148530978413,5.166316632411551,3.5516391467696544,3.704682839303032,4.44269117581703,3.3110642427317636,4.768373203047602,2.32239361587647
2019-08-06-10,3.301777043798665,2.0620296011424073,2.9749431179266628,3.657641618087069,5.479734410193254,6.941177232836663,4.698917796357224,6.014070798960375,1.8635860480502566,1.5550551089271838,6.928125282888039,2.0503317958390017,2.1947906200643312,1.3593312071022776,0.404108387008187,2.1266154554319447,1.6953884550696008,4.238712631693479,3.9346268242541083,3.5298412778613097,2.0904722186301767,2.4173127335412823,3.5947941984899,1.2161078340521438
2019-08-06-11,4.049972781535907,0.6060151677994076,3.6749784223288273,3.0508591520375807,4.572465767259782,6.482918147660217,4.574185926682696,5.076115065493224,2.090968687911158,1.4735688853342501,7.069663919042262,1.108321680672252,1.6377399257905805,1.903016511232898,1.5997440384546722,1.780296342612873,0.8011140468795067,1.5369400235976602,2.8274813867941155,2.2691915513580683,1.1945064191529744,1.4945459066927609,3.6103960069370626,2.7385107080337803
2019-08-06-12,3.9334840304052388,1.3247701332127084,3.772873582953454,3.0328548745938577,5.114183342776686,6.793372419122872,4.805508740167975,3.9739631526304318,1.924389537611032,1.1809658693997014,6.8043035987650935,2.1984455070774214,1.2317557247191186,2.588721837693242,1.5565056086136684,1.9149470254471093,0.4273922680641329,4.1630587669338945,3.305805967680738,3.0305172928202935,1.3272852497504537,1.5944432094695071,3.150515677356482,3.9779598353235635
2019-08-06-13,3.6654459193574787,0.5253626169519615,3.7372221287948477,2.773478223450596,4.827655774590191,6.848144770433693,4.604761225256745,3.773617018436261,1.3808909125330704,2.3838225625821705,2.814783301813935,2.5510007460188784,3.1922906355420637,1.679034615315754,0.6552755507326419,3.133464184058041,2.27954853566957,2.9022196217263754,2.898801189130078,2.4819187388102075,1.0723543557134232,1.8992005584085645,1.5306989034110803,4.141548255108172
2019-08-06-14,3.496196200308614,1.3910786069406818,5.172673052492619,2.5342072543585488,4.586988798464039,6.738530404042079,4.538772218665398,3.650378756846796,1.7431418555224243,1.9412163397598117,3.1438287274862335,2.0104260612979203,2.1897075210606483,1.0622095369937476,0.5254506934793561,2.5953289214835458,2.3662974577016302,2.7463910166689085,2.9416565304392077,2.687437333466169,1.0319229060106827,2.2596651828875385,3.596488373058254,2.9675481730915743
2019-08-06-15,4.455902131916977,1.149871569870053,4.054880976758413,2.656891909246511,4.288326049822334,5.892111863955031,4.27401514702899,2.2392295761361107,2.262321469504876,3.3359191873296687,1.929192132773134,1.7445352666673415,1.8414393581520494,0.8318529289374139,1.0122771956483172,3.0832674669868054,3.906349225214207,4.079303180248911,3.0929041985856536,3.407181782169099,1.5022829408685734,2.1682318087972123,1.2709289782842332,3.695162655839463
2019-08-06-16,4.6402039478501695,0.5638114845192301,4.421192938301544,3.096088015618734,4.308586993397307,5.904573736180614,3.691311960857972,1.8928254934747526,1.5886558773901613,4.479599759610246,1.8080868792233027,0.8348934407709375,2.5025984643570753,0.12318629796537649,0.9751500304179413,2.8499270226083415,1.5061389881178808,3.687852060581983,2.685556637395264,2.786558965073628,0.7589010997669329,1.8591427643801695,1.8880764591346186,2.0175499215848993
2019-08-06-17,4.004598368088897,0.43582053848015245,3.903251839635951,2.7121256497789386,4.49905252803293,6.477439921543783,4.080910731929223,2.2051983705932607,1.6312822476280395,2.6712183099915676,1.5103912792627006,0.9585552626996122,1.4758818302161463,1.0298764345662492,1.2014582913157614,2.6768149781221284,3.710811539303244,3.9548735117728087,2.1169391986977826,2.609240073617217,1.4253830646966001,2.028173554303761,0.8860545916369189,1.6568717281836405
2019-08-06-18,4.933549637222776,0.7445623991504967,2.4970497636699567,2.935040485162116,3.202954054743701,6.039500380246386,2.519895594013429,2.1611746765128297,1.4270104751801274,4.208390511610602,1.0705213703716436,0.17473101189502535,2.731938195803147,0.7996403050086911,0.8756578119336328,2.6554328525058244,2.801808122911708,5.186271050083507,1.4069151630898513,1.7390646946269264,1.624313253583227,1.7285003629425193,0.9669944617908044,1.0124170386723181
2019-08-06-19,3.181855523843536,0.8464773980982195,3.7824950833697852,2.428372995533553,3.087699327341721,5.0934600744211105,2.995745686619212,1.5128422475698766,1.2142604616003296,3.2697793466739546,1.0937255861207091,0.4969239965449964,2.859475369225439,0.6048735851416722,0.6800935809430417,1.7972863097254888,2.8785316364337623,1.9770945879305644,2.9559196066915705,1.8852604284365624,1.7257176029451364,1.265448238022159,1.3340051901596939,2.0608490216658835
2019-08-06-20,3.357942769728789,1.1572476880717928,4.158223794385711,2.5004051511688807,2.6475478943686253,5.087769987685494,2.296249931042509,1.5414351071669385,1.7318083749804751,4.194867870719934,0.2177869973886997,0.7804721091925712,1.8523926666210815,0.9020359644750335,0.31863309761699793,1.9116965307651144,3.1406728387573914,0.44661041498529735,2.378009585585791,2.1177010179278026,1.4696265630226217,2.5542860688592732,1.0719128468781183,1.9902657777368205
2019-08-06-21,2.3114089271792397,0.5734642990760944,3.5841824469920867,2.5914355825690567,2.528354551597785,4.401710321476636,1.8685650229382464,0.8440763545974715,1.5559513793031958,4.21724696839678,0.731640436029293,1.1824355317500002,2.0546952612913296,1.1634343252927697,0.18167117240506012,1.023078544201014,0.5354866751073201,0.46294486689606246,2.847573254852206,2.519994731752001,1.7092625112204072,1.2149651233772925,1.0129828334479136,0.9656726097196926
