,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-23-00,4.0,8.6,7.5,16.9,5.1,9.2,10.8,13.7
2019-03-23-01,-999.0,-999.0,6.2,17.6,-999.0,-999.0,-999.0,-999.0
2019-03-23-02,-999.0,-999.0,6.9,18.2,-999.0,-999.0,-999.0,-999.0
2019-03-23-03,5.5,10.7,7.8,18.1,7.7,13.6,11.3,13.8
2019-03-23-04,-999.0,-999.0,8.1,17.9,-999.0,-999.0,-999.0,-999.0
2019-03-23-05,-999.0,-999.0,7.4,18.7,-999.0,-999.0,-999.0,-999.0
2019-03-23-06,6.6,10.7,8.8,18.4,10.6,14.7,12.5,15.4
2019-03-23-07,-999.0,-999.0,7.3,18.1,-999.0,-999.0,-999.0,-999.0
2019-03-23-08,-999.0,-999.0,7.7,18.2,-999.0,-999.0,-999.0,-999.0
2019-03-23-09,6.2,9.7,6.9,17.8,11.5,14.0,10.5,13.7
2019-03-23-10,-999.0,-999.0,6.5,17.6,-999.0,-999.0,-999.0,-999.0
2019-03-23-11,-999.0,-999.0,6.3,17.3,-999.0,-999.0,-999.0,-999.0
2019-03-23-12,3.2,7.0,6.4,17.2,8.1,10.5,9.2,11.2
2019-03-23-13,-999.0,-999.0,6.0,17.0,-999.0,-999.0,-999.0,-999.0
2019-03-23-14,-999.0,-999.0,5.5,16.5,-999.0,-999.0,-999.0,-999.0
2019-03-23-15,1.5,6.2,5.5,16.2,6.7,8.6,9.0,11.9
2019-03-23-16,-999.0,-999.0,4.2,16.1,-999.0,-999.0,-999.0,-999.0
2019-03-23-17,-999.0,-999.0,3.0,15.9,-999.0,-999.0,-999.0,-999.0
2019-03-23-18,-0.2,5.5,3.1,15.9,5.6,7.0,9.1,10.4
2019-03-23-19,-999.0,-999.0,1.9,15.7,-999.0,-999.0,-999.0,-999.0
2019-03-23-20,-999.0,-999.0,1.9,15.8,-999.0,-999.0,-999.0,-999.0
2019-03-23-21,-0.2,4.9,3.6,15.9,2.9,4.1,9.5,11.4
2019-03-23-22,-999.0,-999.0,4.5,16.0,-999.0,-999.0,-999.0,-999.0
2019-03-23-23,-999.0,-999.0,6.4,16.3,-999.0,-999.0,-999.0,-999.0
