,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-04-00,25.0,290.0,300.0,30.0,230.0,293.0,270.0,30.0
2019-12-04-01,-999.0,-999.0,40.0,60.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-02,-999.0,-999.0,150.0,50.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-03,312.0,270.0,120.0,70.0,309.0,290.0,59.0,37.0
2019-12-04-04,-999.0,-999.0,170.0,60.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-05,-999.0,-999.0,120.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-06,279.0,320.0,170.0,40.0,310.0,307.0,50.0,50.0
2019-12-04-07,-999.0,-999.0,180.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-08,-999.0,-999.0,180.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-09,295.0,320.0,90.0,40.0,221.0,284.0,102.0,94.0
2019-12-04-10,-999.0,-999.0,340.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-11,-999.0,-999.0,330.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-12,307.0,360.0,330.0,30.0,300.0,312.0,80.0,60.0
2019-12-04-13,-999.0,-999.0,330.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-14,-999.0,-999.0,340.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-15,293.0,360.0,330.0,40.0,74.0,33.0,351.0,45.0
2019-12-04-16,-999.0,-999.0,310.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-17,-999.0,-999.0,310.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-18,340.0,340.0,320.0,30.0,70.0,9.0,30.0,60.0
2019-12-04-19,-999.0,-999.0,310.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-20,-999.0,-999.0,310.0,60.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-21,289.0,340.0,310.0,30.0,51.0,32.0,15.0,35.0
2019-12-04-22,-999.0,-999.0,320.0,50.0,-999.0,-999.0,-999.0,-999.0
2019-12-04-23,-999.0,-999.0,310.0,40.0,-999.0,-999.0,-999.0,-999.0
