UTC,首爾,東京,北京
2019-05-12-00,116.14352281697387,34.68432045602509,65.46004506280951
2019-05-12-01,121.96445076768973,45.98527309882883,38.508355640195475
2019-05-12-02,130.5803603868062,52.145707483811066,347.1594230188051
2019-05-12-03,155.61103581893556,60.274499442814744,82.49654517485553
2019-05-12-04,194.59932884033802,69.97378559921799,173.7640125454102
2019-05-12-05,215.3910056127487,80.38031629087553,276.8839416162845
2019-05-12-06,231.05474223988872,93.57174297643039,288.4395659903232
2019-05-12-07,237.7367092295111,100.76176144308826,288.71246901357523
2019-05-12-08,244.83955115433432,97.15857113581086,282.1918031239655
2019-05-12-09,251.5384696988958,95.1756233547558,291.5617165926783
2019-05-12-10,258.72763104124175,91.48904570527642,306.4707935859665
2019-05-12-11,265.6637532302781,89.58558458062188,314.9480731435111
2019-05-12-12,256.825301669475,81.48453184139737,322.9807336569361
2019-05-12-13,192.52902139649612,69.29902333277434,328.20469727237924
2019-05-12-14,148.67939544206172,65.33581785313112,328.9005659669209
2019-05-12-15,129.19231887377308,63.881448686045616,324.44086457253655
2019-05-12-16,134.6003786474594,66.35255359595149,319.9503559352838
2019-05-12-17,146.17675814280653,64.10578750313053,309.50466913875425
2019-05-12-18,155.50373225455678,59.47580667164411,298.3837004828708
2019-05-12-19,155.431991893849,63.528776881639175,282.7107541340795
2019-05-12-20,157.0934278961579,64.61214349075524,285.379811813322
2019-05-12-21,153.19375480924657,67.45829730803408,289.8605822964175
2019-05-12-22,152.90317684737227,72.62531334592799,286.8583156576809
2019-05-12-23,144.25551896898435,88.43508101162197,296.3537228848576
