,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-04-30-00,0.9,1.5,2.6,9.3,5.0,3.0,1.0,3.0
2019-04-30-01,-999.0,-999.0,3.6,8.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-02,-999.0,-999.0,3.6,10.3,-999.0,-999.0,-999.0,-999.0
2019-04-30-03,3.1,4.1,5.7,8.2,9.0,2.0,1.0,2.0
2019-04-30-04,-999.0,-999.0,6.2,7.7,-999.0,-999.0,-999.0,-999.0
2019-04-30-05,-999.0,-999.0,5.1,8.8,-999.0,-999.0,-999.0,-999.0
2019-04-30-06,2.4,3.5,6.7,7.2,5.0,2.0,4.0,2.0
2019-04-30-07,-999.0,-999.0,2.6,10.3,-999.0,-999.0,-999.0,-999.0
2019-04-30-08,-999.0,-999.0,2.6,8.8,-999.0,-999.0,-999.0,-999.0
2019-04-30-09,2.8,2.1,3.1,7.2,2.0,2.0,3.0,4.0
2019-04-30-10,-999.0,-999.0,3.6,7.7,-999.0,-999.0,-999.0,-999.0
2019-04-30-11,-999.0,-999.0,2.6,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-12,2.7,1.5,2.1,6.7,1.0,0.0,2.0,3.0
2019-04-30-13,-999.0,-999.0,2.1,7.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-14,-999.0,-999.0,3.1,7.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-15,1.9,2.6,2.1,6.7,1.0,1.0,1.0,1.0
2019-04-30-16,-999.0,-999.0,2.1,6.7,-999.0,-999.0,-999.0,-999.0
2019-04-30-17,-999.0,-999.0,2.6,6.7,-999.0,-999.0,-999.0,-999.0
2019-04-30-18,1.8,1.5,3.1,7.2,1.0,1.0,2.0,1.0
2019-04-30-19,-999.0,-999.0,3.6,7.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-20,-999.0,-999.0,3.1,2.6,-999.0,-999.0,-999.0,-999.0
2019-04-30-21,0.3,2.6,3.1,6.2,1.0,0.0,2.0,5.0
2019-04-30-22,-999.0,-999.0,2.6,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-30-23,-999.0,-999.0,2.1,7.2,-999.0,-999.0,-999.0,-999.0
