UTC,濟州,那霸機場,上海,福州,廈門
2019-07-02-00,22.9541015625,29.27197265625,25.119720458984375,30.355133056640625,29.6353759765625
2019-07-02-01,23.855804443359375,30.0152587890625,25.179962158203125,31.759613037109375,31.060516357421875
2019-07-02-02,24.689727783203125,30.51715087890625,25.9066162109375,32.616851806640625,32.106292724609375
2019-07-02-03,24.87591552734375,30.8043212890625,26.512908935546875,33.30499267578125,33.742218017578125
2019-07-02-04,24.503936767578125,30.839874267578125,27.183685302734375,33.70599365234375,34.2110595703125
2019-07-02-05,24.6949462890625,30.850250244140625,26.07891845703125,33.437957763671875,31.88507080078125
2019-07-02-06,24.904083251953125,30.66259765625,26.462554931640625,33.233062744140625,32.935272216796875
2019-07-02-07,24.699310302734375,30.289459228515625,26.30523681640625,32.71630859375,32.54534912109375
2019-07-02-08,24.5020751953125,29.725189208984375,25.8685302734375,32.40216064453125,32.2813720703125
2019-07-02-09,24.3626708984375,29.161529541015625,25.400726318359375,32.042938232421875,31.42669677734375
2019-07-02-10,23.29388427734375,28.196624755859375,24.95806884765625,31.19189453125,29.4813232421875
2019-07-02-11,22.119110107421875,27.7164306640625,24.655853271484375,29.63165283203125,28.95770263671875
2019-07-02-12,21.738433837890625,27.33990478515625,24.62152099609375,28.989837646484375,28.670867919921875
2019-07-02-13,21.626445312500003,27.236921386718752,24.149610595703127,28.132769775390628,28.045440673828125
2019-07-02-14,21.555466003417965,26.92587646484375,23.95819305419922,27.614400329589845,27.967462158203123
2019-07-02-15,21.158348083496094,26.860992431640625,23.885467529296875,27.171920776367188,27.673255920410156
2019-07-02-16,21.11702667236328,26.803630981445316,23.807923278808595,26.828709716796876,27.340239257812502
2019-07-02-17,20.775364990234372,26.69388671875,23.6987646484375,26.414760131835934,27.075253295898435
2019-07-02-18,20.455291748046875,26.765838623046875,23.433456420898438,26.47406005859375,26.398391723632812
2019-07-02-19,20.066904296875002,26.73064025878906,23.244684448242186,26.29834716796875,26.143374633789062
2019-07-02-20,19.919931945800784,26.732100219726565,23.439467468261718,25.725842590332036,26.26651306152344
2019-07-02-21,20.015296936035156,26.824310302734375,23.452499389648438,25.583267211914062,26.129798889160156
2019-07-02-22,20.39534484863281,27.693935546875,23.989806518554687,26.09888458251953,26.34041076660156
2019-07-02-23,21.297001953125,28.725379638671875,24.67338623046875,26.69564453125,26.348028564453127
