UTC,濟州,那霸機場,上海,福州,廈門
2019-12-23-00,2.1733223812112885,3.099958386694652,2.329930196831927,2.1868727958018654,4.695363037309316
2019-12-23-01,3.602998600537844,4.059766672568368,2.30985836017837,2.1531300797507016,5.07078917860731
2019-12-23-02,4.670200515129814,3.6038471887375723,2.3957598430850124,1.6103158533390105,4.801380267607287
2019-12-23-03,4.532209054825849,3.52827152109953,2.852722168090942,1.4379375778316925,4.838611924549225
2019-12-23-04,4.511643818840355,3.927598308246552,3.5558272205958543,1.7096672034466773,4.533666452539141
2019-12-23-05,4.3640478220526475,4.2196911567140365,3.7790855882093743,1.7525756386383968,3.933401822575603
2019-12-23-06,4.368703747775645,4.449662135770682,3.7323135928155624,1.6608715200014563,3.3577004323835844
2019-12-23-07,3.8088090665749315,4.570332892074679,4.287173924080541,1.789772518713521,3.6286995038268053
2019-12-23-08,3.0887808442894427,4.314760763419927,4.857263621331176,2.6458682015581987,3.772310690378131
2019-12-23-09,3.0910249438866364,4.293946200083391,5.112174526313806,3.2906209512093856,3.866439252673177
2019-12-23-10,2.7105443854887032,3.987088411748394,4.449990510327025,3.0443906727328205,4.43826063046788
2019-12-23-11,3.556870674431555,3.7712101558899436,4.269957093485261,2.1436155951522537,4.112936854213695
2019-12-23-12,3.6562415496202476,3.3992083026253943,3.4407658574464124,1.1817620284628378,4.04967279941027
2019-12-23-13,3.3659257135656673,3.1993414796314967,4.220146211147967,0.3670993389830753,4.024627373199979
2019-12-23-14,3.451787269756573,3.057674872857514,4.696695344152523,0.4437802815593568,3.498273225627729
2019-12-23-15,3.4492741501826587,2.876024549903544,5.045847780512912,0.4763716290524333,3.4032060710464593
2019-12-23-16,3.577450716200788,2.6847288303682317,4.223546886985885,0.6123599274422697,3.2104149293293798
2019-12-23-17,3.270851735895585,2.8910400928485003,4.58652155334345,0.8477124838114856,2.9086983621177653
2019-12-23-18,3.687321266210583,2.893400825989395,4.964512630325657,0.8580008982091647,2.727942493208038
2019-12-23-19,3.5288447314860787,2.4137942429985415,4.866585165243939,0.7639055463014867,2.225095686763105
2019-12-23-20,3.1604396580465197,2.231237478840121,5.061215161839228,1.2589034055328623,1.8595269314613703
2019-12-23-21,3.464675804325897,2.202139469169681,5.123528183928471,1.2740020954030407,1.3182146309299598
2019-12-23-22,3.482454262485683,2.1371593939904105,5.5703980666053345,1.345679866537953,1.0845166861662185
2019-12-23-23,3.602862688068243,2.300264083852397,5.710475930841499,1.3822448666778742,0.7824564744541685
