,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.38,0.52,0.26,0.99,-1.43%,15.57%
淡水,-0.28,0.56,0.6,1.16,0.37%,9.26%
竹子湖,-0.21,0.44,0.49,1.05,0.42%,12.42%
基隆,-0.45,0.58,0.24,0.8,1.63%,7.68%
台北,-0.09,0.7,0.53,1.21,-0.44999999999999996%,10.17%
新屋,-0.13,0.45,0.26,1.03,0.9199999999999999%,7.779999999999999%
板橋,-0.14,0.53,0.33,0.91,-0.6%,10.97%
新竹,-0.09,0.6,1.08,1.69,1.04%,11.49%
宜蘭,0.14,0.45,0.22,0.8,0.66%,9.75%
蘇澳,-0.45,0.61,0.77,1.54,1.44%,8.73%
overal,-0.13,0.54,0.48,1.15,0.4%,10.39%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
合格站數,10,10,10,10,10,10
