,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
台中,0.03,0.69,0.55,0.93,0.8500000000000001%,7.04%
花蓮,-0.07,0.34,-0.2,0.84,-1.5%,7.539999999999999%
日月潭,0.25,0.82,0.05,0.73,-1.3%,8.86%
阿里山,0.27,0.62,-0.02,0.36,-3.38%,9.24%
玉山,0.81,1.01,-1.51,2.47,-11.58%,19.31%
成功,-0.24,0.46,0.63,1.22,-2.45%,8.59%
台東,-0.29,0.47,0.18,0.58,-0.88%,5.58%
大武,-0.48,0.81,0.23,0.78,0.9299999999999999%,8.19%
overal,0.03,0.65,0.0,1.14,-2.34%,9.21%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,88.0%,100.0%,88.0%,100.0%
合格站數,8,8,7,8,7,8
