,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
台中,1.07,1.26,0.95,1.38,-0.06%,7.88%
日月潭,0.95,1.03,0.04,0.58,-0.6799999999999999%,11.52%
阿里山,0.73,0.82,-0.01,0.31,-2.82%,9.85%
嘉義,0.93,1.09,0.47,1.0,0.06%,8.51%
玉山,1.15,1.26,-2.43,3.58,-4.63%,13.58%
永康,0.92,1.07,0.48,1.12,2.41%,10.190000000000001%
台南,0.44,0.68,0.46,1.07,5.390000000000001%,10.45%
overal,0.88,1.02,0.06,1.54,0.09%,10.190000000000001%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,86.0%,86.0%,100.0%,100.0%
合格站數,7,7,6,6,7,7
