,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.45,0.57,0.07,1.01,-3.1199999999999997%,12.75%
淡水,-0.39,0.58,0.98,1.82,-0.83%,7.07%
竹子湖,-0.07,0.35,0.71,1.39,2.0%,12.07%
基隆,-0.54,0.64,0.06,0.9,0.69%,7.07%
台北,0.02,0.78,0.52,1.38,-1.32%,10.36%
新屋,-0.02,0.28,0.14,0.76,1.31%,6.0600000000000005%
板橋,-0.18,0.53,0.34,1.05,-0.19%,11.98%
新竹,-0.13,0.32,1.12,1.74,2.79%,9.43%
宜蘭,0.1,0.37,0.09,0.57,-0.7799999999999999%,8.43%
蘇澳,-0.62,0.78,0.24,1.23,1.38%,5.74%
梧棲,0.03,0.35,0.39,1.02,-1.81%,6.18%
台中,0.56,0.79,0.86,1.39,-0.03%,7.3999999999999995%
花蓮,-0.29,0.49,-0.53,1.0,-1.59%,7.66%
日月潭,0.44,0.62,0.15,0.68,0.22%,10.83%
阿里山,0.54,0.65,0.01,0.27,-1.83%,9.31%
嘉義,0.72,0.85,0.46,1.06,1.48%,9.02%
玉山,0.82,1.11,-2.04,3.24,-1.43%,17.94%
成功,-0.64,0.79,0.2,0.87,-5.6000000000000005%,10.89%
永康,0.65,0.82,0.55,1.1,0.44999999999999996%,9.370000000000001%
台南,0.31,0.53,0.62,1.2,2.65%,9.950000000000001%
台東,-0.46,0.59,0.13,0.48,-1.55%,8.5%
高雄,0.16,0.55,0.94,1.46,-0.22999999999999998%,10.63%
大武,-0.7,0.97,0.57,1.58,1.9%,9.610000000000001%
恆春,-0.47,0.67,1.59,2.39,0.29%,5.83%
overal,0.01,0.62,0.34,1.38,-0.22%,9.33%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,92.0%,96.0%,100.0%,100.0%
合格站數,24,24,22,23,24,24
