,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
嘉義,0.72,0.85,0.46,1.06,1.48%,9.02%
玉山,0.82,1.11,-2.04,3.24,-1.43%,17.94%
永康,0.65,0.82,0.55,1.1,0.44999999999999996%,9.370000000000001%
台南,0.31,0.53,0.62,1.2,2.65%,9.950000000000001%
高雄,0.16,0.55,0.94,1.46,-0.22999999999999998%,10.63%
大武,-0.7,0.97,0.57,1.58,1.9%,9.610000000000001%
恆春,-0.47,0.67,1.59,2.39,0.29%,5.83%
overal,0.21,0.79,0.38,1.88,0.74%,10.32%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,71.0%,86.0%,100.0%,100.0%
合格站數,7,7,5,6,7,7
