,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-05-00,21.3,25.7,22.5,25.6,25.9,26.2,26.1,27.0,27.7,27.4,27.1,26.7,27.3,21.9,13.3,26.0,-999.0,28.9,25.5,25.3,28.6,25.1,26.6,24.3
2021-06-05-01,21.4,25.6,22.7,25.4,26.4,25.7,26.8,26.7,28.6,27.9,26.5,26.4,27.8,21.5,13.2,26.0,-999.0,27.0,25.3,25.3,27.1,25.2,27.2,24.2
2021-06-05-02,21.7,25.7,22.7,25.5,26.5,25.9,26.7,27.2,30.2,28.9,26.6,26.3,27.5,21.5,13.0,25.7,-999.0,26.6,25.2,25.1,26.9,25.2,26.2,24.7
2021-06-05-03,21.6,25.8,22.8,25.1,26.3,26.6,26.5,28.3,29.6,27.9,27.9,26.9,28.0,21.3,13.2,26.0,-999.0,27.1,25.3,25.2,27.0,25.4,26.7,26.0
2021-06-05-04,21.3,25.8,22.9,24.8,26.1,26.5,26.7,27.8,27.7,26.7,28.2,28.2,28.2,22.1,13.1,27.7,-999.0,27.7,26.0,26.0,28.3,26.0,28.4,26.9
2021-06-05-05,21.3,25.7,23.7,24.7,25.5,26.6,26.3,27.5,27.0,25.8,28.4,30.1,28.6,22.8,13.4,28.5,-999.0,27.3,27.3,27.3,28.1,26.8,30.1,26.7
2021-06-05-06,21.5,26.3,23.5,24.3,25.8,26.5,26.7,27.1,26.1,25.0,28.9,29.5,27.3,23.4,13.9,30.2,-999.0,28.2,29.0,29.2,29.1,28.8,30.4,25.7
2021-06-05-07,21.4,25.9,23.3,24.0,25.3,25.7,25.8,26.1,25.2,24.9,28.9,28.7,26.1,23.4,13.5,29.7,-999.0,28.1,28.6,28.4,29.5,29.3,29.8,25.0
2021-06-05-08,21.2,25.6,23.1,23.9,24.8,25.2,25.4,25.3,24.8,24.9,24.3,27.8,25.9,22.3,13.6,27.2,-999.0,28.5,25.6,25.8,29.4,25.9,27.1,25.0
2021-06-05-09,20.6,23.7,22.6,23.5,24.3,24.0,24.8,25.4,24.3,24.8,25.0,26.7,25.6,21.8,14.0,24.6,-999.0,27.6,26.5,27.3,28.3,27.5,25.5,25.5
2021-06-05-10,20.0,24.0,21.8,23.0,23.6,23.7,23.9,25.4,24.2,24.4,24.5,24.4,25.5,21.0,13.6,25.2,-999.0,27.1,26.2,27.1,26.6,28.3,25.8,25.8
2021-06-05-11,18.4,22.9,20.5,23.1,23.1,23.3,23.5,23.8,23.0,24.0,24.4,24.3,25.3,19.9,13.5,24.7,-999.0,26.2,25.7,25.4,26.7,28.3,25.6,25.7
2021-06-05-12,17.4,22.7,19.0,22.4,22.5,22.9,23.2,23.8,22.9,23.0,24.1,24.1,25.0,19.8,13.3,24.5,-999.0,25.9,25.4,27.8,26.8,27.9,26.1,26.0
2021-06-05-13,17.8,22.0,19.7,22.4,21.8,22.8,22.4,24.1,23.2,22.7,24.7,24.3,24.7,19.8,13.3,24.5,-999.0,25.7,26.3,27.1,26.5,28.6,27.3,26.4
2021-06-05-14,18.1,21.5,20.2,22.5,22.0,21.7,22.3,23.1,22.8,22.7,24.9,24.3,24.5,19.5,13.5,24.7,-999.0,25.7,25.6,27.4,26.6,28.6,26.4,26.7
2021-06-05-15,18.5,21.7,20.0,22.5,22.1,21.5,22.3,23.0,22.7,22.6,25.0,24.1,24.3,19.7,13.6,24.8,-999.0,25.3,25.7,27.5,27.0,28.6,27.0,26.5
2021-06-05-16,19.0,21.8,20.4,22.6,22.1,21.7,22.4,22.8,22.6,22.7,23.7,24.0,24.0,19.8,13.6,24.6,-999.0,24.9,25.5,26.1,26.8,28.7,26.8,26.1
2021-06-05-17,19.3,22.1,20.6,22.5,22.4,21.8,22.8,22.8,22.7,22.9,24.4,23.9,24.0,19.6,13.5,24.6,-999.0,24.6,25.3,25.2,26.6,27.8,25.0,25.6
2021-06-05-18,19.2,22.2,20.6,22.6,22.8,22.2,23.1,22.9,22.5,22.9,24.9,23.8,24.0,19.6,13.0,24.6,-999.0,24.6,24.9,25.1,26.2,27.1,25.2,26.2
2021-06-05-19,19.4,22.4,20.6,23.0,23.0,22.3,23.4,22.9,22.8,23.0,25.0,23.9,24.0,19.5,13.1,24.5,-999.0,24.7,25.4,25.1,25.4,28.1,25.0,26.7
2021-06-05-20,19.1,22.6,20.7,23.4,23.0,22.7,23.5,23.0,22.7,23.0,24.8,24.0,23.9,19.4,13.2,24.6,-999.0,24.6,25.2,25.5,25.3,27.9,25.1,26.9
2021-06-05-21,19.4,22.8,20.9,23.0,22.9,23.2,23.3,23.1,22.7,23.2,24.6,23.7,23.9,19.3,13.2,24.8,-999.0,24.5,25.6,25.3,25.1,27.9,24.7,25.5
2021-06-05-22,19.5,22.9,21.1,23.1,23.4,23.1,23.9,23.5,22.6,23.4,24.8,23.9,23.9,19.6,13.2,24.9,-999.0,24.5,25.6,25.8,25.2,26.3,24.8,26.0
2021-06-05-23,19.7,23.3,21.5,23.5,23.7,23.7,24.2,24.0,23.2,23.7,25.4,24.3,24.2,19.6,13.5,25.3,-999.0,24.6,25.7,25.7,24.8,26.4,24.7,25.8
