,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-07-31-00,250,160,340,240,160,240,290,240,260,250,180,190,270,360,30,170,220,130,140,100,290,110,210,250
2021-07-31-01,360,140,220,190,280,230,330,210,80,80,220,200,220,320,70,200,230,140,200,160,190,170,220,350
2021-07-31-02,180,310,230,20,60,230,260,280,100,110,230,210,130,290,310,220,260,160,280,310,200,180,220,280
2021-07-31-03,190,300,240,350,290,230,250,280,100,140,220,210,80,290,290,170,210,190,80,60,240,350,220,330
2021-07-31-04,340,320,240,360,140,240,210,240,120,130,200,200,80,230,280,160,220,170,70,50,330,60,310,220
2021-07-31-05,80,240,70,280,90,220,220,230,130,160,200,180,80,100,280,120,220,180,80,80,310,330,210,350
2021-07-31-06,140,40,340,230,50,230,70,270,130,170,200,190,330,40,20,200,270,200,100,100,270,340,220,320
2021-07-31-07,150,170,10,200,100,230,70,170,220,250,200,190,360,20,300,180,250,160,160,150,190,90,250,300
2021-07-31-08,170,160,10,210,80,230,70,250,80,300,220,200,350,360,140,200,280,190,150,130,200,90,280,360
2021-07-31-09,200,170,50,210,60,250,60,240,30,360,200,210,210,330,30,200,240,190,150,130,230,80,300,260
2021-07-31-10,190,140,80,270,60,240,-999,70,290,240,210,190,260,200,30,200,240,350,150,140,230,110,300,280
2021-07-31-11,190,190,70,220,110,240,250,210,240,110,200,200,260,230,30,200,250,10,150,120,220,90,290,290
2021-07-31-12,190,90,100,170,270,230,210,210,20,60,200,200,350,10,120,220,240,330,130,120,30,70,270,330
2021-07-31-13,160,150,80,210,90,200,-999,170,340,230,180,210,360,360,360,140,250,160,110,120,240,80,290,290
2021-07-31-14,190,130,40,190,160,220,230,-999,240,310,200,180,30,40,260,150,260,360,160,120,290,40,280,270
2021-07-31-15,350,130,40,190,120,220,-999,160,340,310,180,170,20,30,260,150,230,340,120,100,360,90,210,280
2021-07-31-16,180,140,60,180,130,220,90,270,210,310,170,80,330,110,280,90,240,330,120,150,320,120,230,300
2021-07-31-17,20,110,50,180,210,220,250,180,280,250,170,110,230,150,260,160,250,320,90,180,320,160,220,270
2021-07-31-18,310,140,20,190,130,160,230,170,300,240,170,110,260,200,240,120,260,310,110,120,350,150,220,280
2021-07-31-19,160,160,10,240,120,220,210,180,270,240,160,180,230,180,280,100,270,330,130,160,360,190,40,240
2021-07-31-20,160,160,40,180,180,220,60,170,160,260,160,190,240,190,10,160,240,350,180,150,360,300,60,240
2021-07-31-21,110,120,10,150,120,220,230,180,320,250,170,30,240,160,270,140,280,340,80,210,300,310,50,240
2021-07-31-22,140,140,340,150,210,210,230,170,280,280,170,150,230,180,290,130,240,280,150,90,300,320,170,240
2021-07-31-23,160,150,360,120,100,190,70,170,310,240,180,180,230,50,280,40,250,340,140,100,300,250,190,240
