,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-07-09-00,24.908477783203125,30.410797119140625,25.02630615234375,29.967681884765625,29.7901611328125,29.8321533203125,30.199188232421875,29.9766845703125,29.97540283203125,29.0184326171875,29.076629638671875,28.751922607421875,28.7877197265625,24.03271484375,16.857818603515625,30.010986328125,11.476898193359375,28.572113037109375,29.791229248046875,29.76422119140625,28.51806640625,30.373199462890625,28.41180419921875,29.42999267578125
2021-07-09-01,26.004425048828125,31.349884033203125,26.791015625,30.732879638671875,31.197967529296875,30.42059326171875,31.23516845703125,31.84234619140625,31.291900634765625,30.630615234375,29.5111083984375,30.13446044921875,29.437530517578125,24.849029541015625,18.302490234375,30.828765869140625,13.786865234375,29.326171875,31.35150146484375,31.49505615234375,29.8656005859375,30.86297607421875,28.470977783203125,30.120361328125
2021-07-09-02,26.902130126953125,31.788299560546875,27.71832275390625,31.147369384765625,32.51019287109375,30.417388916015625,32.420257568359375,32.38409423828125,31.633453369140625,31.168548583984375,30.965728759765625,31.61865234375,30.01153564453125,26.232269287109375,19.0555419921875,31.549591064453125,15.338409423828125,29.7509765625,32.02008056640625,32.6787109375,30.39349365234375,31.278656005859375,29.004119873046875,30.851654052734375
2021-07-09-03,28.139862060546875,31.890167236328125,28.9600830078125,31.874725341796875,34.418304443359375,31.26446533203125,33.96551513671875,32.397216796875,31.7646484375,31.054290771484375,30.584625244140625,32.985809326171875,30.49420166015625,26.53875732421875,17.966796875,32.497100830078125,16.329620361328125,29.67034912109375,32.5948486328125,32.693572998046875,30.38983154296875,31.35198974609375,28.92437744140625,31.197021484375
2021-07-09-04,25.3853759765625,31.697113037109375,28.66064453125,31.522216796875,35.25238037109375,31.425750732421875,35.144195556640625,32.57952880859375,32.664154052734375,31.5101318359375,30.728424072265625,33.57611083984375,31.303436279296875,28.03143310546875,17.277557373046875,33.397369384765625,16.027069091796875,29.6614990234375,32.897735595703125,32.00079345703125,30.5950927734375,31.726806640625,29.310455322265625,31.496978759765625
2021-07-09-05,27.1365966796875,32.166290283203125,30.671173095703125,31.730072021484375,35.47344970703125,31.454132080078125,35.76043701171875,32.891845703125,32.63720703125,31.55426025390625,31.319244384765625,33.063201904296875,30.596099853515625,28.361328125,16.51763916015625,33.823760986328125,16.627349853515625,29.813323974609375,33.108917236328125,32.370452880859375,31.151153564453125,31.659423828125,29.136566162109375,31.2103271484375
2021-07-09-06,28.144256591796875,31.90631103515625,30.4945068359375,31.52490234375,35.321075439453125,31.56512451171875,35.641357421875,32.7005615234375,33.565887451171875,31.642425537109375,30.91162109375,33.35577392578125,30.7744140625,28.34930419921875,17.205810546875,33.777618408203125,15.81207275390625,29.964752197265625,32.414703369140625,31.9781494140625,31.078125,31.713287353515625,28.888092041015625,30.83453369140625
2021-07-09-07,26.0264892578125,32.07025146484375,29.8179931640625,30.951141357421875,34.94085693359375,30.157012939453125,34.874298095703125,32.7091064453125,32.0496826171875,31.61541748046875,30.72509765625,33.491973876953125,30.690338134765625,27.11541748046875,17.845001220703125,33.82037353515625,14.78961181640625,29.51800537109375,32.1146240234375,31.540771484375,31.03985595703125,32.058685302734375,28.818450927734375,30.54791259765625
2021-07-09-08,27.662994384765625,31.6580810546875,29.7064208984375,30.7950439453125,34.257354736328125,29.80877685546875,34.33056640625,32.0589599609375,31.580078125,31.12847900390625,30.468170166015625,32.857208251953125,29.90753173828125,27.115264892578125,17.19293212890625,33.132965087890625,10.521148681640625,29.2984619140625,32.09954833984375,31.46533203125,30.41986083984375,31.210968017578125,28.6474609375,30.03643798828125
2021-07-09-09,25.549560546875,30.944091796875,29.29266357421875,31.0404052734375,33.44384765625,30.3538818359375,33.75604248046875,31.315399169921875,29.944091796875,29.89959716796875,30.208343505859375,32.329010009765625,29.618194580078125,25.83734130859375,16.978759765625,31.860321044921875,10.62982177734375,28.745574951171875,31.790740966796875,31.40301513671875,30.0045166015625,31.52734375,28.175262451171875,29.035003662109375
2021-07-09-10,24.96331787109375,30.425506591796875,26.84613037109375,31.00067138671875,32.286590576171875,28.72735595703125,33.309722900390625,30.73077392578125,29.341339111328125,28.80938720703125,29.760955810546875,31.381683349609375,29.26910400390625,24.5369873046875,16.20843505859375,30.7933349609375,10.6834716796875,27.95172119140625,31.21649169921875,30.51629638671875,29.2908935546875,30.794036865234375,27.628631591796875,28.285003662109375
2021-07-09-11,22.391632080078125,29.82733154296875,24.935455322265625,29.786712646484375,31.0244140625,28.4984130859375,31.785919189453125,29.836029052734375,29.657623291015625,27.945526123046875,28.536712646484375,30.70867919921875,28.4613037109375,23.540435791015625,15.990814208984375,30.255706787109375,7.336334228515625,27.89697265625,30.621307373046875,30.302154541015625,28.469635009765625,30.235687255859375,27.66851806640625,27.744171142578125
2021-07-09-12,21.747894287109375,29.14794921875,24.0352783203125,29.200042724609375,31.14385986328125,28.581939697265625,30.98309326171875,29.82354736328125,28.8770751953125,27.912811279296875,29.05841064453125,29.84405517578125,28.122314453125,22.7257080078125,15.4617919921875,29.853515625,6.13519287109375,26.6241455078125,30.184967041015625,29.96905517578125,27.8905029296875,29.82733154296875,27.761260986328125,27.58819580078125
2021-07-09-13,21.701143798828127,28.51550659179688,24.221510009765627,28.799759521484376,30.31306884765625,27.89085693359375,30.396492919921876,29.451455078125,28.658111572265625,27.682548828125,29.14833984375,29.571416015625,27.5116943359375,22.375258789062503,14.67208251953125,29.643355712890624,4.803199462890625,26.175098876953125,29.880128173828126,29.677381591796873,27.219946289062502,29.702266845703125,27.23836181640625,27.5167236328125
2021-07-09-14,21.777812194824218,28.05459503173828,23.737875061035155,28.426610717773436,29.79525085449219,27.772698669433595,29.70433166503906,28.914461975097655,28.123757019042966,27.85107971191406,28.963849792480467,29.20998596191406,26.73184875488281,21.783571777343752,13.844812622070311,28.917271118164063,4.411630859375,26.02016876220703,29.551494140625,29.459991149902343,26.951564331054687,29.74517425537109,27.085785522460938,27.577903442382812
2021-07-09-15,22.557586669921875,27.823638916015625,23.48242950439453,27.88506317138672,29.54388427734375,27.34491729736328,29.474403381347656,28.616439819335938,27.708526611328125,27.663589477539062,28.765243530273438,28.981674194335938,27.04973602294922,22.542388916015625,13.030319213867188,28.820877075195312,5.348594665527344,25.201332092285156,29.51105499267578,29.428054809570312,26.92804718017578,29.470443725585938,27.354873657226562,27.65904998779297
2021-07-09-16,22.940987548828126,27.82442565917969,23.350268554687503,27.797393493652343,29.30967956542969,28.09242919921875,28.89920135498047,28.21981201171875,27.304699707031254,27.794356994628906,28.59203002929688,28.439697265625,26.863108825683597,21.593884887695314,12.987052307128906,28.671121826171877,4.845270080566406,25.031954345703127,29.283853759765627,29.219751281738283,26.91259582519531,29.238823547363282,27.47048034667969,27.55001373291016
