,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-30-00,236.07868756732157,241.37019723017045,282.78759749144734,186.14678884354538,305.01823063056986,234.17240662735244,213.18645273012214,234.91212930202823,64.99210503905871,52.30112037113534,202.63992805610428,197.87909047843092,181.92471979741646,206.03262568139522,144.6799327853755,199.93914851689203,355.7182893686984,187.6036889432422,201.61771692440044,201.61771692440044,33.55311963979909,235.82651032557916,131.9133569358991,270.03740586961845
2021-06-30-01,169.35160064871138,238.77685896248525,232.13863627912042,251.96699528757333,287.4923856186634,230.58711689521107,184.31973043621647,232.76254214272683,95.5507461617307,91.84193858487978,218.04027993119848,209.7735268394528,178.34292907199693,287.98354920199824,275.1757423258586,197.37463459872342,168.58099745207642,193.80509525017672,210.33683720663993,199.85470658925266,72.36886123134798,196.18239400342298,132.83616277576087,269.67154336936306
2021-06-30-02,256.91426774309457,247.6073809814954,291.9659838289582,96.61333973711646,295.24987575349854,235.6620639948124,200.16570056336712,239.11832386043787,76.42654671821734,121.2260068249094,233.59969195220197,208.12851879290562,128.52247858028232,272.84363205875707,253.49786433521396,191.2296035403219,174.1633416771174,166.67156252089188,213.27704821632432,209.79272395605037,117.88431501563016,228.9991124521941,156.71587606148643,270.39992164149606
2021-06-30-03,278.37176020439995,259.51475826951463,278.37176020439995,67.23632574632961,229.47203020208946,234.38319357631806,229.1248737187084,241.34193698118622,90.51741509995028,138.8887398650624,232.84738821008838,205.2723780115419,139.23152917010455,272.79359393426853,239.26071304112074,203.9515246995992,180.15453730905378,186.43589283988223,228.0555489714639,219.421386793144,121.01516626823448,246.40146426932552,264.49991344492173,270.4112314505705
2021-06-30-04,243.160834661211,258.94427188049366,333.1798847855449,38.722868077861165,277.6709431192338,236.5087732639392,251.0434825477136,239.26438712262615,102.7056873605842,144.7951785405337,234.61564021877172,209.17424679485237,138.97270496110605,277.25817353803484,225.84285417633336,200.01966334261186,177.6587902395594,156.0131046285044,230.17180646427425,215.8737085762408,100.90266582707085,234.7432151776889,269.002342609192,278.7094275593295
2021-06-30-05,248.1292273998705,254.07413206767396,270.61780405496756,61.380106555572496,289.8085481057713,235.6830148943617,256.5495186616409,241.2839538534992,92.88060299649672,121.68545750204382,231.50519905392218,223.03160498604902,153.3551264288529,286.2204899982192,265.648843943573,213.88494324667556,172.45431944652552,99.45869678834993,232.14185889079894,211.33256601607022,80.0640953046505,263.43419402527405,272.99394743878287,280.1280618935899
2021-06-30-06,246.09438762039298,260.020098410479,297.02917937958796,70.34993199570764,284.2664637864209,234.2681115148798,237.32013247090458,236.71063339269853,90.67537250158611,141.54025915845665,229.94552898535107,219.74861206683903,112.60145484785673,264.68220550654274,258.85704748653535,231.77199096593958,173.9966890729258,89.39307088580046,235.63449073078334,206.90718154215386,70.67183554712477,290.93577294569883,281.15127225028886,282.9794314200174
2021-06-30-07,245.88681743812435,258.8746317887017,257.7747089486731,81.8049844358039,251.05023725938779,229.93367505625272,220.3967105865986,235.96130674541212,92.04952502077379,142.5829519154743,225.7515347119099,219.8759160747546,135.8601152023719,248.71441077036803,309.5291226833661,229.71036133944034,172.34920146646883,41.16079658205172,232.5898897485982,202.4006263680941,65.42242338515004,284.151566459926,286.5596843214472,287.2168039907381
2021-06-30-08,248.24516605364772,250.22779745728792,261.9511679966105,73.51614881054772,82.31160883794396,232.2596235818825,220.77323900598765,236.0521160529879,60.12754860058746,152.29768124604374,225.52083528155683,218.14153196027752,116.96093392387851,246.29692402346362,273.86849401579946,220.8402407739622,176.40629741314865,33.712277340384276,226.5130376757008,188.20742794989192,68.44708139303413,289.40739243324896,289.9858311889661,290.0353025927973
2021-06-30-09,69.42998382502168,249.3956464909913,259.11546756949355,42.82528874050871,78.07448592785411,232.68981407891573,250.8924929896938,236.40803188282175,87.8187945665496,49.5912858033758,228.87235287365132,209.55617698083591,90.74608980994267,246.9915403952796,289.4946319167874,217.84544719911105,176.25547026850785,45.90852176789954,229.52967183940018,190.66146349796333,61.955067552950084,292.6570453020568,283.94223433761124,285.9687085895591
2021-06-30-10,224.54760349576213,251.08621576664777,290.233403318769,86.1256626395315,88.97635267701293,232.02147997495513,239.02534926011145,231.1835385622426,80.59665527219047,91.22527957393802,228.1848696004621,225.0862300963693,110.10296192202622,94.79781502982888,96.20620149935897,217.15041257245366,169.063378502782,42.676798275733546,236.21248592966649,195.28308673731428,70.05644429657417,292.01894664186113,285.6302722542816,285.1465461378138
2021-06-30-11,129.15590552167353,242.3280837865437,303.0532259766434,97.6221828805532,93.17707583768382,229.34546039659963,154.34817776297433,236.45083674129543,90.29312065535305,213.9468862284603,222.47025887457272,207.38762407405105,149.0973015663571,183.40002863478935,147.03094416762275,216.89951428237572,147.46367442682583,43.195702722316724,225.88528762801587,200.97160387122676,51.32446365273131,291.99880160416353,77.68550518514908,281.1990010342519
2021-06-30-12,153.62228144335478,271.0744148376504,297.65257589852075,52.108299902254515,99.82798819068782,238.81194911049724,89.32291321366071,241.2129729994796,58.4876240622481,195.93653014756677,206.80688319798313,201.1650037256622,162.20130164698418,162.7232826844814,138.79802205591713,195.4295430665212,145.2357662300519,27.131951088970652,208.96915286520084,185.58209345573266,173.95444905334858,275.41433789650193,96.50257673482287,282.8487933320046
2021-06-30-13,259.45083941717417,248.58590558414994,324.95146648206725,113.47073924551708,88.99450084695309,234.87971036921337,286.6279663313363,249.05052693893035,73.8034704447777,289.7985554722198,207.71935477576233,191.16803765500674,102.80242990210124,162.76308560500547,151.8378926247859,190.40693709459504,168.86442063523424,29.639329903505654,206.89762926099348,195.8743373271401,187.11373819740857,262.41215193962745,297.3342445695777,283.6340826694531
2021-06-30-14,222.15628354394687,279.9145198116706,321.1294233236655,151.64453786446938,112.95108491561379,230.43159996250904,151.28852076985652,238.9909707175696,76.3685909413384,329.8423535656554,201.3656912559182,193.92319091249533,134.18140062869242,252.41729542938774,159.19675422675533,189.9614816774071,158.15066072451623,343.58658560168897,214.18266524829616,201.05037254774192,348.7894543404508,262.2082727042839,315.48833689407047,280.84797107086683
2021-06-30-15,158.839877992664,159.68372329494628,185.74256707565092,192.85589316440468,114.11636321057074,226.33746871596244,137.9133393523669,238.44811672638636,150.10997037688458,196.57088446508214,198.8424039390569,180.58015688874963,199.14770240400452,165.52192055333393,145.84030422512313,189.03290650297956,132.86576322431867,148.14582786264643,203.79499150932315,201.43504754856752,290.53455546029414,267.67702720194524,317.21446147290584,285.5878235044651
2021-06-30-16,211.24326490631984,299.25779105575884,324.13699718102566,213.46044956699123,320.75248426303244,235.22351691651585,325.627156995258,244.5464718528751,350.79877704336866,296.78519255971474,193.84633337325388,189.9128857661347,228.2468522886183,187.76340980014618,147.832458851742,174.36373152876246,130.23339116673662,325.54257174612445,207.95450593615607,209.32435674774013,315.0665555483158,256.06821645266314,73.36689696604023,284.6268907874813
