,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-12-00,1.475121666157291,1.140468845728562,1.153608554927997,3.0439878075891658,0.5666386811121447,2.3117254403768546,0.29265611442995554,0.6096992077097874,1.085578358202628,3.026153227238853,2.045955219083036,0.9345879570123438,2.825252938373463,1.219609798805949,0.9881816489005536,0.6516517199106469,2.347653547418298,0.7167232161868335,1.4865148049021768,1.2609924341277454,2.0417994673737363,1.7826195837166947,2.288614017663475,4.1448396300441885
2021-06-12-01,1.2208779539605443,1.7199045778113664,0.7461581624684754,1.784973094727219,0.8507371962717947,2.830219412353773,1.1219736724012992,1.2340268797357252,1.2503352093397089,3.99920699854498,2.8676532656054725,1.1126820237705262,3.7984504722747214,0.8719477953309739,1.5038818523434216,1.408292777186241,2.3016301004632047,1.5265548875557562,1.1208647335892197,0.8478676397678403,1.7900028274753481,2.8360434272368695,2.9911121042285926,4.667898867613583
2021-06-12-02,1.9207964190092988,1.964092166684065,1.383798150880258,1.7117617824481661,1.2754663591091393,3.2908817734972677,1.4771683521861791,2.401855585096686,2.125629082035006,5.751688477975023,3.9477557258787987,1.3268195036082293,5.277596203374984,0.8152782575049956,0.5809667171672851,1.8228851945313942,2.4477352410950357,2.7618856659295403,2.0280690384355355,2.9427239475996885,3.1747675034173155,3.3828878339528665,3.154168670412681,5.301021130314999
2021-06-12-03,0.8847824417733706,2.2979863750611655,1.108159051962097,4.202193569805644,1.3201847155032627,4.294471164567509,1.3582076232849183,3.845751339834277,3.4940122911653604,6.8897569692882215,4.081467282762533,1.4504152049529035,5.67531072349339,1.1159112727679825,0.6644084631440441,2.242720216014407,2.077370525203782,1.9790693205133434,3.8211089669793257,3.8282467978518397,2.3240660061059173,3.235109370651236,2.68205846149126,5.31489695390079
2021-06-12-04,1.2637807012658848,3.5449224175589635,1.5598923459433036,4.697186767992424,1.5556866604941193,4.182568481658006,1.9366980485311764,3.6524513303445065,3.4851369879974006,5.520766124570159,4.007306774022364,2.407363161140875,6.541046769341081,2.517945577022248,1.3678347897455456,2.459363196828596,1.8189918870556894,2.1512766653016535,4.837923676790549,4.728495157307183,2.3998796424111974,4.88764402672232,2.705519625689362,5.075087977368
2021-06-12-05,2.961884314286543,3.8735378957008546,2.6667778295937907,4.956498429504284,2.3403393861245787,4.82158382371656,4.491022957089335,4.41635672315022,4.289640988816974,6.810677519545449,4.451562740414893,3.8388549234011387,6.616420736255745,1.6738727848470727,1.2822472038276216,2.6242664635025226,1.6399156601129552,1.6987894588109445,5.252368948066356,4.540779993753732,1.6597728231988167,4.839650239696314,1.1460896423642373,5.11706998348129
2021-06-12-06,2.7885353947205878,3.820472946385333,2.534944790786659,2.815414712023369,2.5404925639452594,4.6402908847629405,2.7463009544497723,3.9428705793534284,4.153952210742275,7.127192346014128,4.979331674953247,4.222105734498283,4.741306949488223,1.5182922245700659,0.654568937058594,2.2682665491686436,1.513032276342454,2.1982434632586325,4.473844264783037,4.397502458803289,2.298825576725383,6.183926610645244,1.3665075389913606,4.517063315867597
2021-06-12-07,2.5347901889042137,4.497226842822279,1.4484011413635156,2.7642942453425237,1.4088224031803822,3.2836731775061754,2.378239036812892,3.8328753251403764,3.888544579434942,5.00437494671608,4.572357175448286,4.191074456416913,6.5817625280721455,2.665965674635986,0.5366289678363346,2.997722393166944,2.0634674774143646,1.7921873715280745,4.744401808605709,4.744401808605709,1.4508918070887755,6.268641058109802,1.5997834002980933,4.267372796856194
2021-06-12-08,0.9826385170181291,3.0150036248007437,0.7148944390165333,3.301088198255398,0.8842801497898226,2.7956142426176913,1.9617066586291765,2.0828356689751435,3.4835749352109504,5.727356292321917,3.951272455013775,2.9040781478665627,4.132650600008686,1.3085246068662448,1.3524608129818028,2.742068724682445,1.9364932586262837,1.1363288453904579,4.702712281173234,5.1299360409632975,1.9736553763615112,4.283166701609996,2.6042887712847778,3.2916549417565055
2021-06-12-09,1.5031847772194962,1.6594129365456702,0.5078791039132344,3.888657750273079,1.6045002927666794,1.8564111853736915,1.9714733533211986,1.6952981716889304,3.0875664451195757,3.017025303416396,3.361860544471153,2.5256846313224335,1.6343377972669784,0.4654188533290717,2.82203183758742,3.1833939492728116,3.2229276422083024,1.6136856534735722,2.3340923655795436,2.901385159588676,1.6555616566092162,3.8229393606338897,0.8743110417029761,3.388834338707899
2021-06-12-10,1.7887710916502253,1.8504712657918507,0.8676532472941489,1.7765880222702872,2.134075237997969,2.7764852694675417,1.6657881252472522,1.8765181302453593,2.3254376464974102,3.2681491210978706,1.7123290933131758,1.486981466797755,3.139187245693234,1.6731538531011692,1.9204178443906497,3.1553175232019925,1.3618406230980247,0.24614631356627106,2.097426869329659,2.3855404092324854,1.388687101064733,3.7033764670019047,0.7863012755826639,3.1185583685574128
2021-06-12-11,1.8388259650136545,1.2158012169350185,0.4545418689882103,1.2823367401350978,0.6705309284624511,1.5658368893296766,1.6866633198148149,1.057008384847642,1.8076106555437912,3.638166056951808,2.3601208804663205,2.5159247615172675,3.7560624091715655,1.5142389548904576,1.3420294054037831,1.6801352892424486,1.0957805513811842,2.4516525516344374,1.8136476328736446,2.687039253476124,1.037249009032346,4.584953801250716,1.189939785920677,2.297328996965993
2021-06-12-12,1.7139369875112869,0.6403672065939363,0.8584732645818808,0.7079600984605618,1.1518699105268222,2.6659777981253523,1.6192522552585582,1.9812939586914582,1.2313527350170288,4.447122274601338,0.8878084023711459,1.7503137118647196,2.0381789220548243,1.784507990397783,0.6525034295478556,1.0825555399859084,1.7579061958690487,1.0264974033885297,1.3420492543275926,0.30990070486653176,0.8929513230375649,3.022558533223996,1.4527674094875402,2.376740552061446
2021-06-12-13,1.4046054006422959,0.2261761121251888,0.8684224833049569,2.467296244190792,1.6846145323266708,1.9124021318202187,2.220587683248554,1.9758845253577022,0.7292469992395807,3.6283006094483534,1.1199962231736258,1.090553763845489,2.291871464944024,1.0493743211642754,0.8895482593102729,1.61990665198235,1.5172672066973183,1.0000065588687905,1.383773054899617,1.564526487576632,0.2901885868102561,2.656858192647029,2.0043515788714363,1.7669675436140153
2021-06-12-14,1.4995211707146743,0.43707004162217783,0.640073657692219,2.2667311521681524,1.1671024294958559,3.20854548515057,2.7016454161469894,1.1985923957465445,1.8720958320910996,2.4409591975571283,1.2565315951346574,1.1747235573008357,0.4779949013743875,1.1093324330715928,0.9495236585976046,1.6230310051429986,1.079835265483989,1.6561565427119775,1.2495133434113892,1.794138394005707,0.34013689149667997,1.5500448171360197,1.797196017522947,1.9056841195693255
