,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-05-15-00,21.6,25.9,22.6,24.9,26.2,26.7,26.1,27.0,26.2,25.9,28.0,28.3,28.0,23.1,15.9,31.0,7.6,29.0,29.3,29.9,29.9,28.9,29.7,29.9
2019-05-15-01,21.4,27.2,22.7,24.8,27.7,28.1,27.1,28.4,26.2,26.8,29.3,29.8,29.3,23.8,16.4,31.6,8.7,29.9,30.6,30.6,30.8,29.5,29.4,29.4
2019-05-15-02,22.4,28.1,23.7,25.7,28.1,28.1,28.1,28.6,28.2,27.0,30.3,31.7,29.7,25.8,15.8,31.1,8.2,28.8,30.8,30.6,30.1,28.4,30.0,26.9
2019-05-15-03,21.5,27.7,23.2,26.2,29.5,28.7,29.1,29.7,28.5,26.6,29.0,31.6,29.3,26.3,16.2,32.5,9.4,29.0,30.6,30.4,29.3,28.5,27.8,25.6
2019-05-15-04,22.3,27.7,23.9,26.4,29.9,30.1,29.2,29.9,28.9,26.8,29.7,32.0,29.4,27.1,16.7,27.2,8.6,28.0,28.9,28.7,27.8,29.1,27.6,25.9
2019-05-15-05,22.6,28.4,24.5,25.9,30.1,29.9,29.7,31.4,27.5,26.6,30.6,32.9,28.6,24.3,14.2,26.5,6.6,27.8,29.1,28.3,28.0,30.0,29.2,27.2
2019-05-15-06,22.5,30.0,25.6,26.5,30.7,28.9,30.1,29.3,27.3,26.5,28.5,33.7,28.1,24.3,13.9,27.0,7.2,26.8,30.4,31.3,27.5,29.8,29.2,30.1
2019-05-15-07,22.7,29.0,24.8,25.9,30.1,28.7,30.0,29.5,26.2,26.1,28.6,31.7,27.2,20.1,14.1,30.3,7.6,26.5,29.5,31.4,27.8,30.0,29.2,29.8
2019-05-15-08,22.1,27.8,24.0,25.4,28.1,29.5,28.8,29.6,25.7,25.7,28.5,30.0,25.8,21.3,13.6,30.7,7.5,26.2,29.3,30.5,27.9,30.1,28.6,29.1
2019-05-15-09,21.4,27.8,23.6,25.4,27.6,29.0,28.1,29.8,24.9,25.4,27.7,29.4,25.5,22.6,13.8,30.7,8.4,26.2,30.7,30.3,28.2,29.8,28.1,28.4
2019-05-15-10,21.7,27.3,23.3,25.4,26.9,27.1,27.8,28.1,25.4,25.7,28.2,28.9,25.5,21.9,13.5,29.5,7.5,26.3,29.1,29.3,27.8,28.9,28.1,27.9
2019-05-15-11,21.4,26.5,22.7,25.7,27.2,26.5,27.5,27.6,25.4,25.5,28.2,28.4,25.7,20.9,13.2,28.4,6.1,25.6,28.5,28.7,27.4,28.3,26.9,27.7
2019-05-15-12,21.3,26.3,22.3,25.6,27.1,26.5,27.2,27.7,25.2,25.3,28.3,28.0,25.8,21.1,12.9,27.8,5.4,25.1,28.3,28.5,27.1,28.2,26.8,27.5
2019-05-15-13,21.7,26.2,22.9,25.7,27.5,26.3,27.0,27.2,24.5,25.1,27.6,27.9,25.6,21.2,11.8,28.1,4.5,24.7,28.0,28.3,27.0,28.3,26.1,27.5
2019-05-15-14,21.7,25.8,22.8,25.6,27.6,26.6,27.2,27.2,24.6,25.1,27.6,28.1,25.4,21.6,11.8,27.6,4.6,25.1,28.3,28.5,26.8,28.3,25.9,27.4
2019-05-15-15,21.8,25.7,23.2,25.4,27.2,26.4,26.9,27.3,24.9,24.9,27.7,27.9,25.4,20.9,12.2,27.5,4.9,24.4,28.2,28.2,26.6,28.2,25.9,27.2
2019-05-15-16,21.6,25.7,23.0,25.3,26.8,26.2,26.4,26.7,24.4,24.6,27.6,27.5,25.2,20.8,11.6,27.4,4.7,24.3,28.0,28.2,26.5,28.1,25.6,27.4
2019-05-15-17,21.7,25.6,22.4,25.4,26.3,25.8,26.2,26.4,24.2,24.3,27.4,27.3,25.2,20.6,11.7,27.1,4.4,24.3,27.6,27.9,26.7,28.0,25.3,27.4
2019-05-15-18,21.7,25.6,22.5,25.5,26.4,25.7,26.2,26.4,24.1,24.3,27.0,27.0,25.1,20.5,10.9,26.5,5.0,24.5,26.9,27.7,26.4,27.6,24.8,27.3
2019-05-15-19,21.5,25.9,22.5,25.3,26.4,26.2,26.3,26.8,24.0,24.0,26.9,26.5,24.9,20.4,11.0,25.0,5.7,24.3,26.6,27.6,26.3,27.7,24.7,27.4
2019-05-15-20,21.4,26.3,22.3,25.4,26.4,26.7,26.4,27.6,23.6,24.0,26.9,26.9,24.6,20.6,10.9,24.8,5.7,24.1,26.4,27.6,26.0,27.9,24.6,27.4
2019-05-15-21,21.3,26.5,22.9,25.3,26.2,27.0,26.3,27.9,23.8,23.9,26.7,26.5,24.6,20.6,11.2,24.7,6.1,24.0,26.2,27.3,25.9,27.8,24.7,27.2
2019-05-15-22,21.5,26.7,23.0,25.6,26.2,27.2,26.4,28.0,24.1,24.6,27.0,26.7,25.1,20.4,12.1,25.2,6.1,25.2,26.3,27.3,26.2,27.8,25.3,27.5
2019-05-15-23,21.3,27.1,23.3,26.6,26.8,27.6,27.2,28.9,26.2,26.5,27.7,28.1,25.8,21.2,12.7,28.6,6.2,27.0,27.0,28.4,27.0,29.0,27.9,28.0
