,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-12-21-00,80,-999,260,-999,360,20,340,350,-999,260,350,360,240,210,90,60,270,330,50,10,330,360,300,250
2019-12-21-01,250,310,-999,-999,320,30,-999,360,100,90,350,10,220,-999,290,340,270,60,360,330,320,320,40,120
2019-12-21-02,200,300,220,260,230,30,210,-999,100,100,330,280,220,100,230,60,260,130,20,350,60,290,50,70
2019-12-21-03,330,280,180,210,240,30,230,-999,140,110,340,320,160,310,-999,30,270,120,40,340,90,280,50,70
2019-12-21-04,350,340,260,190,280,10,300,360,130,90,340,330,140,350,260,360,270,140,360,350,100,290,90,80
2019-12-21-05,360,350,270,350,320,360,310,360,110,110,350,330,140,340,260,10,250,150,340,290,120,290,80,110
2019-12-21-06,360,340,220,360,310,20,340,350,90,130,350,330,130,320,280,20,290,140,350,290,150,310,110,80
2019-12-21-07,360,10,-999,330,320,20,20,360,130,90,350,330,120,140,30,360,260,140,360,310,140,310,110,310
2019-12-21-08,350,360,360,340,320,30,10,10,170,70,360,340,100,320,210,350,270,-999,340,310,100,340,80,330
2019-12-21-09,340,360,-999,330,270,40,260,30,170,130,350,320,20,120,150,360,260,10,350,330,40,340,60,320
2019-12-21-10,10,20,110,350,210,60,230,60,290,260,360,350,350,150,70,10,260,360,360,330,70,10,50,350
2019-12-21-11,190,40,-999,340,200,40,210,40,300,270,350,300,350,330,150,10,260,330,360,340,40,350,10,80
2019-12-21-12,350,20,350,330,220,40,190,20,360,270,350,320,310,270,140,10,250,320,360,330,20,40,330,100
2019-12-21-13,110,80,-999,310,220,30,230,20,280,280,350,350,280,310,40,360,250,340,350,330,330,360,300,80
2019-12-21-14,280,-999,-999,280,240,40,-999,10,280,260,360,340,220,330,50,10,240,330,360,330,320,310,310,70
2019-12-21-15,360,350,360,290,280,40,190,20,330,250,360,-999,260,220,100,30,260,320,10,350,330,340,260,30
2019-12-21-16,20,-999,-999,-999,270,30,190,-999,340,270,360,-999,240,190,30,360,250,330,360,340,-999,10,310,320
2019-12-21-17,30,100,-999,280,260,40,240,30,280,290,350,-999,-999,170,60,20,-999,330,350,340,320,20,250,30
2019-12-21-18,10,-999,-999,-999,230,350,190,310,290,250,360,210,10,170,90,360,-999,330,20,340,310,360,270,270
2019-12-21-19,20,50,-999,260,270,40,210,-999,280,260,40,80,40,-999,40,50,-999,330,360,350,320,20,300,330
2019-12-21-20,10,-999,350,250,230,30,200,20,310,-999,360,-999,100,30,290,80,-999,330,10,350,340,20,310,330
2019-12-21-21,20,340,290,-999,230,350,200,30,270,280,340,-999,360,20,270,60,-999,330,50,360,330,20,300,-999
2019-12-21-22,20,300,-999,340,280,30,200,-999,260,250,360,130,10,290,250,350,-999,330,360,330,330,20,310,300
2019-12-21-23,30,150,350,180,230,150,200,-999,300,260,30,330,350,310,260,60,-999,330,10,340,330,30,260,360
