,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-07-29-00,0.2,0.6,0.2,0.9,0.5,0.5,0.7,0.5,2.2,2.6,2.4,0.9,2.7,1.1,0.7,2.4,7.8,0.8,1.9,3.2,1.1,2.1,3.4,3.0
2019-07-29-01,0.9,0.5,0.1,1.7,0.5,2.4,0.3,0.8,1.5,2.9,3.6,0.8,3.2,0.9,0.2,3.5,9.9,1.1,2.3,2.6,1.6,3.5,3.1,2.0
2019-07-29-02,1.2,0.5,1.1,3.3,0.3,3.3,0.9,1.2,2.5,5.9,4.7,0.6,5.2,0.7,1.0,3.3,7.8,2.0,3.8,3.2,0.9,1.3,3.6,3.4
2019-07-29-03,0.5,1.1,1.1,3.0,0.6,3.6,1.7,1.6,3.4,6.5,5.7,1.7,7.3,1.9,0.9,3.4,7.5,2.1,4.2,3.5,2.0,2.4,3.5,3.4
2019-07-29-04,0.7,1,1.1,3.0,1.3,3.7,1.9,1.9,4.3,7.1,5.7,2.0,7.9,1.8,0.6,3.6,5.8,1.6,3.3,2.8,2.0,2.0,2.5,4.1
2019-07-29-05,1.2,1.5,1.2,3.9,1.1,3.4,1.4,1.8,3.2,5.8,5.7,2.1,8.1,0.5,0.5,2.1,4.8,2.6,3.4,3.5,1.9,2.2,3.2,4.3
2019-07-29-06,1.6,1.7,0.8,3.9,1.6,4.0,2.8,1.5,3.5,6.0,5.9,2.8,7.8,0.3,1.0,2.3,4.8,2.0,3.4,4.0,2.4,3.2,2.3,4.1
2019-07-29-07,1.1,2,1.6,3.5,0.6,4.2,1.2,1.6,3.8,6.1,6.1,3.0,7.1,1.1,0.6,2.4,5.3,2.8,4.2,4.5,2.2,1.9,0.5,4.8
2019-07-29-08,1.6,1.5,1.1,4.8,2.9,4.2,1.8,1.4,3.7,6.3,6.0,2.6,6.3,1.2,0.3,2.2,3.5,2.4,4.0,2.7,2.0,3.9,0.6,4.6
2019-07-29-09,2.9,0.9,0.4,6.0,1.7,3.8,1.6,1.7,4.1,6.5,4.3,2.1,6.1,0.9,0.2,2.2,3.5,1.1,5.0,3.0,1.6,3.0,2.1,5.1
2019-07-29-10,2.7,0.4,0.2,2.7,2.5,2.2,2.1,1.3,3.2,6.2,4.5,2.0,6.7,1.2,0.2,3.0,6.7,0.6,3.6,3.3,0.9,1.4,2.3,3.3
2019-07-29-11,3.2,1.5,0.5,4.7,2.4,1.9,2.0,1.5,4.9,6.8,3.6,1.3,5.1,1.3,0.9,0.1,7.0,1.0,2.7,2.3,0.7,2.8,1.6,3.0
2019-07-29-12,2.8,2.1,0.5,4.4,2.4,1.3,1.1,0.3,2.9,7.0,2.6,1.1,2.8,1.3,0.6,1.5,7.7,1.9,2.1,2.8,0.6,2.2,1.6,3.3
2019-07-29-13,2.1,2,0.5,2.9,1.6,1.1,1.4,0.0,1.8,6.0,1.6,0.1,2.9,0.8,0.9,0.0,10.7,1.9,2.2,2.3,1.0,1.8,2.0,3.2
2019-07-29-14,1.9,2.1,0.5,3.3,1.6,1.0,0.9,0.7,2.5,5.5,0.9,1.1,3.2,1.1,1.4,0.5,10.2,2.1,1.0,0.9,0.9,1.8,2.9,1.6
2019-07-29-15,1.5,1.4,0.6,3.7,0.3,1.5,0.2,0.0,0.7,4.7,0.6,0.9,2.0,1.0,1.6,0.0,8.5,2.1,0.7,2.0,1.1,0.2,1.6,2.5
2019-07-29-16,1.3,1.1,1.1,2.1,1.1,2.1,0.7,0.6,2.0,4.7,1.5,1.2,2.2,1.2,1.1,1.5,7.8,1.7,0.8,0.9,0.6,0.3,1.9,2.3
2019-07-29-17,0.8,0.3,0.8,2.0,1.3,1.6,1.2,1.1,1.4,3.0,0.7,0.6,2.3,0.9,0.9,1.3,5.9,2.1,0.3,1.0,0.7,1.5,2.0,1.7
2019-07-29-18,0.7,0.6,0.2,2.5,2.1,1.9,1.3,1.1,1.5,3.3,3.0,0.0,3.3,0.5,0.3,1.9,8.1,2.5,1.5,1.7,0.3,0.1,2.9,2.2
2019-07-29-19,0.1,0.2,0.1,2.5,0.9,0.9,1.0,0.2,1.3,2.8,1.8,0.0,3.3,1.5,1.3,0.7,8.5,0.6,0.8,0.8,0.5,0.9,3.5,3.2
2019-07-29-20,1.5,0,0.4,0.8,2.2,1.0,0.8,0.8,1.0,2.3,2.7,0.7,3.1,1.8,1.7,0.0,7.2,1.5,0.0,0.1,0.6,0.6,3.2,2.4
2019-07-29-21,0.9,0.6,0.8,0.9,0.8,1.7,0.5,1.3,1.5,0.9,1.6,0.7,3.9,0.9,1.1,0.2,5.9,1.8,0.8,0.7,0.8,1.6,3.3,1.4
2019-07-29-22,0.3,0.5,0.8,0.2,0.8,0.4,0.6,0.9,1.2,0.2,0.7,0.5,3.9,1.1,0.6,0.9,5.5,1.4,0.3,1.5,0.5,2.0,2.7,2.7
2019-07-29-23,0.1,0.2,0.4,1.3,0.9,1.5,1.0,1.6,1.4,2.2,1.1,0.8,3.0,0.1,0.3,1.8,5.6,0.1,1.6,2.1,0.5,1.9,2.8,1.7
