,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-07-08-00,24.720123291015625,30.9796142578125,24.720123291015625,29.770233154296875,30.4205322265625,30.3211669921875,30.52520751953125,31.099578857421875,30.36053466796875,29.2938232421875,30.596923828125,29.9005126953125,30.1954345703125,25.108428955078125,17.1893310546875,30.9591064453125,10.379364013671875,29.0755615234375,30.41351318359375,29.9820556640625,29.8045654296875,28.15948486328125,30.753021240234375,26.614959716796875
2019-07-08-01,25.365325927734375,32.110137939453125,25.365325927734375,31.1485595703125,31.807861328125,30.947052001953125,31.50201416015625,32.738189697265625,31.428009033203125,29.402984619140625,31.73626708984375,32.030670166015625,30.84173583984375,27.081298828125,17.174407958984375,31.7730712890625,10.466278076171875,29.67742919921875,31.27703857421875,30.265472412109375,31.2889404296875,27.249847412109375,32.870391845703125,27.959197998046875
2019-07-08-02,26.963470458984375,32.508819580078125,27.62139892578125,31.68536376953125,32.997283935546875,31.738800048828125,32.892791748046875,32.667510986328125,32.623504638671875,30.327880859375,32.064453125,32.85345458984375,31.273345947265625,27.6790771484375,17.965484619140625,32.735076904296875,10.989654541015625,30.2708740234375,30.753692626953125,29.14898681640625,31.558380126953125,27.36444091796875,30.7423095703125,29.438018798828125
2019-07-08-03,25.9852294921875,31.215545654296875,26.822540283203125,31.091644287109375,34.244873046875,32.45269775390625,34.03619384765625,32.523040771484375,33.063507080078125,30.61572265625,32.227996826171875,33.565582275390625,32.16204833984375,26.4935302734375,17.18109130859375,33.63214111328125,11.0758056640625,30.576904296875,32.053741455078125,30.419647216796875,32.0302734375,28.660736083984375,32.316436767578125,29.61102294921875
2019-07-08-04,24.8175048828125,30.744842529296875,26.707489013671875,31.36846923828125,34.468963623046875,30.63311767578125,33.591552734375,32.1158447265625,32.18994140625,30.387664794921875,32.172698974609375,34.5504150390625,31.079986572265625,29.019866943359375,16.208709716796875,31.879547119140625,11.2041015625,30.458831787109375,31.067535400390625,31.14776611328125,32.548980712890625,27.14996337890625,30.683837890625,29.51123046875
2019-07-08-05,26.073883056640625,31.711029052734375,27.2127685546875,30.62750244140625,34.76971435546875,30.910614013671875,34.29937744140625,32.461669921875,31.26678466796875,31.149139404296875,32.042022705078125,33.837615966796875,31.011260986328125,27.4100341796875,17.270782470703125,32.472625732421875,10.062896728515625,30.553314208984375,31.047943115234375,31.106170654296875,32.123321533203125,28.23504638671875,30.491973876953125,29.6739501953125
2019-07-08-06,25.344512939453125,31.4364013671875,27.858734130859375,30.689544677734375,32.7650146484375,31.77752685546875,33.61602783203125,32.208831787109375,32.55224609375,30.5458984375,31.8040771484375,34.63677978515625,31.347686767578125,25.975616455078125,16.920318603515625,31.12158203125,10.33203125,30.519775390625,31.818389892578125,30.579071044921875,31.9427490234375,30.6904296875,30.8026123046875,27.944061279296875
2019-07-08-07,24.489166259765625,31.3966064453125,27.1346435546875,29.15533447265625,33.038238525390625,31.41302490234375,33.3902587890625,32.5198974609375,31.47125244140625,30.236480712890625,31.87994384765625,33.9405517578125,31.169769287109375,27.846099853515625,16.307464599609375,30.20599365234375,11.020782470703125,30.275848388671875,31.51873779296875,30.5616455078125,32.073974609375,30.369293212890625,31.456878662109375,27.725189208984375
2019-07-08-08,24.794219970703125,31.242401123046875,26.038818359375,28.711944580078125,32.924652099609375,30.987457275390625,33.081939697265625,31.665618896484375,31.03997802734375,29.488128662109375,31.351898193359375,31.796356201171875,31.687652587890625,25.250701904296875,16.58673095703125,30.509124755859375,11.230712890625,29.674163818359375,31.087249755859375,30.3885498046875,32.1624755859375,30.353790283203125,30.848236083984375,27.943206787109375
2019-07-08-09,24.316650390625,29.676849365234375,25.98675537109375,28.887359619140625,31.612091064453125,30.564117431640625,31.513916015625,31.75823974609375,30.627105712890625,29.561004638671875,31.41357421875,31.8890380859375,30.273773193359375,25.940032958984375,16.536102294921875,31.913848876953125,10.3182373046875,29.00750732421875,30.832763671875,30.514129638671875,30.88037109375,29.84320068359375,30.506591796875,28.400482177734375
2019-07-08-10,23.900634765625,30.153350830078125,26.161285400390625,28.950927734375,30.8653564453125,29.97662353515625,30.431304931640625,31.527496337890625,29.8875732421875,29.063446044921875,31.0174560546875,31.386444091796875,30.406585693359375,24.298095703125,16.28936767578125,31.010467529296875,10.339202880859375,28.742340087890625,30.1170654296875,29.667144775390625,30.179351806640625,29.272430419921875,28.965606689453125,25.67413330078125
