,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-01-24-00,103.40765038454725,50.78173952957886,68.98661819386695,42.03345807106305,82.02907865246212,56.05352299521479,78.65574144210476,46.312323439087066,283.2457452821901,291.33125644795155,16.198894805236137,320.7282659127653,303.7173863713343,166.30310379134033,233.37412196481546,0.48709698592153927,169.96297011164927,119.55296670369569,359.0584529579463,11.133142893837373,331.6951215730526,3.7718838750505483,10.864575805433105,54.83087358722247
2019-01-24-01,91.74786943567489,45.8747063020339,64.30960981788081,52.496650396295735,86.48623772889601,52.60839397061878,72.51503672908589,37.60589879791482,282.6290259253949,303.82568364672,27.767395661406226,345.7744246763904,104.96031664047061,213.8079768358038,255.58661369207164,4.919635491016493,207.62640219290904,22.664249877783732,359.776518528735,359.776518528735,351.90169027662625,5.89076666025494,24.043293835179185,55.95270876455393
2019-01-24-02,81.21605659745836,52.944692997977796,63.532293670686045,61.41336402556885,76.14652729159747,60.61613606402034,66.0828842560939,40.04395035341375,94.91541883031377,303.8528215313853,21.114684018570898,339.27073544175005,60.73065459276802,244.8556156411282,241.24794101659157,342.3630142229375,261.30856213481616,30.402191055795186,7.8241092102250605,359.036520719993,49.128831165610165,351.18852632362757,35.8121074352822,56.26387004073081
2019-01-24-03,85.25454730176622,52.259570279926834,62.93361745569314,58.047375864698154,83.41894915480685,53.16277319049419,67.59417201955978,32.52063333367832,61.35743420477226,359.44461181167344,19.34225441036824,337.39705999345716,68.78951156508396,322.9608355743166,261.9327896779925,298.667928291982,211.78402980758034,31.44240945379073,347.29774347595355,341.9341499023936,52.971442717571875,303.5523253843811,41.03778871586147,56.770478175196445
2019-01-24-04,84.02770032219064,54.31465596185285,62.37711750813827,54.07767800866628,90.31714995610002,53.15951614415701,62.63671785550804,30.22715222557946,71.74850672846875,81.8651179377591,15.479148510501204,322.93699576531833,64.34004648640109,309.97604172914674,273.99099924438275,302.9127358226034,207.10381050881435,31.387078512496544,358.40869350330723,320.45275959559785,60.0694008226028,302.5027031769935,57.773137915797406,60.77474821156238
2019-01-24-05,88.09263872730551,54.31561681170561,61.50791136923968,58.047474322442724,81.86077622036737,47.36259061709012,66.32918500023754,25.201164285751815,62.78012415667689,80.59458511527802,15.262126666686243,335.0573438811077,57.40986872476043,281.8510980757049,355.10387279534865,331.73741610485786,203.78101230320232,28.557697715483414,329.0858152732093,333.1186174327032,58.64542123145398,289.9096953928668,45.66369632011333,59.31112104717937
2019-01-24-06,90.37965673521902,104.2056054192548,64.22556548842374,59.91034046997697,80.30068660417507,40.30072866805432,70.62834251305398,28.1065395792383,68.55519809989809,101.71042500302514,16.24229544145834,329.85843870592953,43.644938354784216,278.63780334731354,281.238513562892,320.85368260283514,199.02183558918784,30.000261250358136,327.67084241738996,321.559606226626,57.32096796081268,280.5312310858354,43.29211710032445,61.059291855453665
2019-01-24-07,89.89761839998914,102.85552264730808,64.07921536071723,65.43096002948033,79.03887590833077,50.09862008184916,78.91264139180723,29.78952672763083,65.70184941381655,83.63127857440276,14.262052930026243,340.9121930584394,51.578080602563716,291.34504047995466,276.11103739519757,329.9737594412497,197.26075258458704,27.2875960204573,316.693986817472,323.7440922616138,49.18396352726282,280.52707881621865,32.87690974322601,62.05270330401777
2019-01-24-08,92.83003718516665,106.97782476600361,62.73851159390341,64.04582623332973,81.42200405031838,50.35038500815233,73.15085098704287,35.32815232036978,70.27508841623586,109.25986366468504,16.282967097413007,336.0676706795248,52.73461881122063,284.7914044925265,279.80710779074246,329.3920990198379,193.23078275260727,27.396523719159802,329.1304217809279,324.9860194336392,37.63384295562582,288.97690820335305,36.358053770645625,60.03988203184471
2019-01-24-09,92.68410117172166,114.17735736306864,64.44550475859018,70.92985042683122,80.24637725334466,49.17031617052234,73.10638121153994,55.19810402991095,80.47411582134026,167.62778247215212,17.95389560228199,344.1160563610322,54.8826645193443,267.8236140015709,251.50253544223705,330.68104586103544,180.64391602674453,357.3116960581867,331.62851126560906,324.41977486922076,39.921828634206804,295.0990741522966,31.22359467976335,60.121488582134106
2019-01-24-10,93.119714872125,58.77540888739236,67.31468643456714,68.23951019294472,86.22289343468432,58.75273277575582,78.84086288539254,36.48461390056269,325.75935437410504,269.2999768403818,20.461251374830624,348.2804225410936,36.80277355521315,192.8954532522614,163.42748204713251,339.5081003175235,178.1689357884411,357.2839636272414,335.0948905374251,332.50347159355795,24.552232230526272,296.70143892475994,20.232468599180976,58.16815300538062
2019-01-24-11,86.5849110458494,60.6305384997375,74.25993484242522,72.45641723712077,80.22855049731146,60.89408089050892,75.94507258074577,60.12792113103285,243.62982553912897,287.3497716937276,24.58457820837424,351.7525752839582,43.380877299485576,156.5606443170698,173.552931536358,330.97951882491424,175.66801187718994,357.31716247671005,348.84123746940816,339.8850150616097,293.55204871610596,294.80283958293626,18.718068297886163,52.66083536337288
2019-01-24-12,98.53839443673581,102.20355418313079,75.95027675271027,74.64797651434225,91.15392382830206,53.22575602175803,66.8836764687016,59.52314385160244,275.573258379251,226.67022973234293,29.454510439939554,342.17653182152566,28.345715695644657,195.67158194056242,175.2490249165304,328.61130256163455,164.97321865034274,16.220076472985284,351.2208678664882,348.74243045354683,295.2680986624266,298.30490076224623,84.324699175978,57.74329508585197
2019-01-24-13,101.01712877391736,93.6281932342855,73.07898760366896,57.36266640079509,85.27272543582282,50.72359795081863,61.31736422600471,87.57201631953018,235.48151512056825,253.0736517765965,27.35641999399388,12.690336569840952,14.837384125325059,154.4957427819317,170.62789421366824,341.1865589031848,170.60569970121418,10.009112605735822,348.85379000186236,348.85379000186236,235.02503786214697,296.83753389991597,342.18100683719433,57.51703815603332
2019-01-24-14,98.59367521961454,113.96058745354784,74.74881750860965,49.049467890625465,71.83721526782426,59.490493357346395,59.67813414464945,90.5432962900505,289.15428324361494,303.22813048255694,12.30974859895997,32.76333094684864,354.9909361898812,9.970407616676994,162.93464369123905,338.05296689037567,163.56839612674884,358.6518662230818,350.37904295258886,350.37904295258886,339.87512118752903,306.0839946747499,298.7427514570972,65.149486570557
2019-01-24-15,97.59218459026204,88.26167548966038,72.69912260254804,53.90932214871145,74.95152132776602,49.01582833953677,60.440126591446955,58.610146430123905,252.63097218665604,328.56053126706735,359.22694831704007,0.22805973848056738,339.52599070429227,170.90551534567288,206.33868843139612,315.566810995902,169.8871227668912,353.8135134857063,359.4230025457739,354.71415299447165,352.1732423496632,226.04430198151604,315.27710496871623,78.03505557735366
2019-01-24-16,95.26747636649554,57.45340977678973,75.83034045561254,51.07171226755787,78.612063324048,50.01190473035132,58.158331915261186,39.55111609550963,256.4400018849118,271.66237171535744,14.72777885455622,1.808070796081438,351.70182207822097,30.349235949311094,288.3662262471266,24.047120451127682,162.2407321100863,346.0532353146395,345.24613767933425,341.76626716365445,335.3667592685383,250.07090505308247,330.6893382977289,80.06913792592812
2019-01-24-17,96.9275055329098,132.90822104225535,72.56936499687836,36.445811106460354,81.89303832137543,49.13700633744412,52.20471249721166,20.716775552961394,241.99369023521984,253.80325566957873,17.53170254299573,1.6757275209041609,355.2744132737188,36.727465537051415,170.8101673062558,94.86140515012758,168.70207918586863,51.642971471811535,357.45663994962956,356.1600423121055,341.66570905366467,305.01504324738266,332.75272110823005,74.12992880823944
2019-01-24-18,97.16796001963317,91.81581124869379,73.42486260551723,55.433093276432544,87.38016628960273,50.23418278849772,66.48218732317198,31.585798139098046,264.034027247222,285.37976900988286,57.544695666449826,26.479990305017736,337.5338046680339,29.799674625528297,278.64566158648694,147.41791774753665,168.4988237883481,38.90561578399809,9.270557622991305,10.978292692810669,355.09838442242244,5.438232714255264,319.6720525678463,58.18358531644921
2019-01-24-19,80.24233924417547,97.9584668736295,72.04029697873358,59.97393171787985,84.58050912478092,49.51195680269771,66.99542574459107,74.27419771650486,238.3599245117776,274.9254507204305,25.189435648301327,4.146013020900568,351.4123463175228,298.4037230727723,304.4575166446281,0.9487756869249893,165.98663357768982,356.3209827145082,29.662469535246714,34.97445482550603,339.9340849564511,14.379189400654525,326.0766892227283,63.133724557615835
2019-01-24-20,94.29211711084986,42.829714827739224,70.60212866009635,59.098460621055665,101.65025609760468,50.014393310329524,37.84187416070165,77.82370294177355,247.7074606464801,263.3274015335035,64.21778709632133,357.8698737499553,47.69916513371507,320.6979027818765,285.58719966813715,9.643109765271731,141.99083883207118,344.84664698543753,358.66615969209386,25.856170040872996,340.5998662801159,8.219114517571995,331.6404512877445,43.19647205089137
