,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-10-18-00,3.4388512379699354,4.073430807443069,4.553805200236551,3.4168462063772544,1.2231030345687406,5.953347070729545,1.262773193663599,4.294662253375505,0.986734415253868,2.529023941276504,6.458096262350583,2.4281053085912654,2.0342824700979167,0.7001438471920048,0.36173290128232866,2.613377155804699,1.8682678361666916,4.488985428537496,2.938226516107375,2.9830319180085403,0.8869869088941091,0.8442770424915621,3.115672673579759,5.109845477857169
2019-10-18-01,4.115009098955897,4.64425840210431,3.80436780188355,4.52867574259667,2.7316718962652264,6.482601377218685,2.2344266136922406,5.428046713562941,0.7941611019151678,5.31943307685833,7.717683136976001,2.58062494110357,3.2494287777695905,1.0301142114544175,1.0070073283238186,2.575180508741106,2.6801126771491837,4.367507557826232,2.805455799519407,2.7281947178429964,1.0717202764461229,1.5313504989462976,4.1370171626315,5.165302276557586
2019-10-18-02,3.5067818280619565,4.468472859939022,4.9136321911958385,3.0967459469034577,4.837316525668045,6.967554466424627,3.4158564315259796,4.956010837237949,0.7633917161447733,2.53174022971694,8.58310376961461,3.0072800406575766,3.889834663567794,1.4496050617882488,1.415899642341244,2.2645979094391175,1.071459124126706,5.30128694316556,2.388447531294264,2.1882063197067434,3.366695733088563,1.9539705778840548,4.624644705520815,5.689919131703923
2019-10-18-03,3.3435743454899143,3.8786754729054786,4.836014700311685,4.276459031217871,4.849439771295047,7.631854665097198,4.240677392152026,6.080214590824202,1.9253651337802178,3.598017503015689,9.827926351130477,3.914350229253746,4.342787413638297,2.3091633671293543,1.3195741370826448,2.4480668703485753,2.2159209176126424,5.389678129031678,1.5477910063935985,1.5477910063935985,4.958083934019983,2.574110875526203,5.14279232235455,6.5441712763648825
2019-10-18-04,4.330302928809794,4.848776172299303,4.714031224843858,4.891632582752215,5.486705262667934,7.816372359448535,4.381363688996632,6.455119500227526,0.8328393806541204,3.492390718575902,9.412165022911948,4.044128059653125,4.42195299729556,2.0152459098960285,0.9107382174295092,2.650266987520256,1.3790253718767937,5.223912634475592,1.6873796604467257,1.6873796604467257,4.912388982307941,3.1604096406108497,4.961770000298421,6.580858917399324
2019-10-18-05,4.709823447406944,5.158988248611792,4.944316053061351,5.123867867418676,5.461768547372025,8.216741247253381,4.898554053886037,6.222309124342895,2.9646281517959676,3.114143914429356,10.583891646793152,5.073613915794422,5.25650513531243,2.3504608626879078,1.5987676399713473,3.1224467634551516,1.9967222053684621,5.1486117921405645,1.6189086703800424,1.9882888001994352,4.869135895699759,3.368852688614587,4.7085801293041785,6.353167961579497
2019-10-18-06,4.982316096264528,5.463764853379974,4.352610121951994,4.4078929645358444,4.821897612322513,7.888769108751454,3.6888512199825985,5.879737229575749,2.9989928221161053,5.888556849674861,10.061191695473807,4.9154423907231175,3.584359292067279,1.283936166794696,0.9067426980161675,5.064271466711769,1.6424329860277003,3.6884885633656217,2.6886003731023576,5.1616525866006775,5.216247044017581,3.787265372480435,4.439664560453324,6.077230426339032
2019-10-18-07,5.309047450366401,5.496484410541168,4.4244025956156285,4.442509056111454,5.194812217289934,7.709860053814593,3.905378071935092,5.6388244209503275,4.038987339249576,4.447468848364679,11.190958665490978,4.497130658996342,3.9586580145180528,1.599076202014127,1.7574163383963521,4.865662366331256,1.3132769226071008,3.0725855840137215,5.4008188667243875,6.517749713465755,5.046475349561018,3.3822642546205075,3.4393203082160633,5.296204184446817
2019-10-18-08,4.230723236537872,4.97057736346974,3.5491933496840233,4.021370620021228,3.3731090465735503,7.504939855273215,3.1105202752555323,4.943869390482904,4.018347048419463,4.298250480241371,9.810324867269713,4.476777413226227,3.7786657302385915,1.6625949378998532,1.8711561212249974,4.838720342253483,0.779919202842888,3.722663151520268,6.140381183542941,6.2374212575295305,3.608818831311758,3.027235442678862,3.6113683384011845,3.47177524817658
2019-10-18-09,4.531377458856674,4.0883819233498775,3.2524527594894814,4.621260954783482,3.3719212086981893,7.236623397128955,2.567194684028616,4.9796595008281805,4.6250722405514075,2.7437314944928044,8.239067822282463,3.9459075959457683,4.610912935170817,1.619130797462657,1.8628391513704692,4.308442467842868,0.8551534123148006,4.334687219014359,5.546558723869954,5.223998721241389,4.47925155806093,2.9090537319796543,3.4388790226027104,3.3460107723957955
2019-10-18-10,4.622611674230428,3.88401047099498,2.740615138883735,4.539134504464068,2.8638084471920235,6.572090884693263,2.8810536539316876,5.365192853618391,3.1210189867835725,4.11181461797134,7.723260602765709,3.496575084576335,4.590828248291773,0.8108511316131978,0.5258916143483069,3.8374192045419124,1.9801103849979453,2.6261303485814955,5.318061987705347,4.571182013737407,3.1508671812833327,1.9773731074412126,3.8886043923622626,3.7797525316785565
2019-10-18-11,4.37374099941532,3.533717189762991,3.2287834023206243,5.54341886958618,3.5024891999933234,6.3382877928242705,2.7419860492156882,4.40533304725736,2.0882387991569122,3.712608425859069,7.213179512083957,3.0063272615450067,3.7113099789520345,1.4267629490289897,0.3014932376437312,3.684271546761173,1.9442843117491262,4.552201227493944,4.683926113508822,4.829700908538009,3.6987195699197657,1.2413695521569228,2.5846926213223633,4.7461382975334105
2019-10-18-12,4.672264533501932,3.4112102968933438,2.9207948647648583,4.129635687564127,2.129821649214741,6.063201561863436,1.4101976764582826,3.546374271218647,1.4687684987946386,2.4053392566772893,6.993034299711882,3.1676395981085177,1.4780859875858952,1.5530163047968983,0.41367342389893447,3.4196242077928565,1.620068473746642,5.437038353443778,4.044445153498573,4.492116925954107,1.490528364616185,3.80767293157629,3.3668065225579524,3.867155781773089
2019-10-18-13,4.144848260284174,2.3967467264625504,2.595719598047014,4.202176743431332,1.8673605006104668,5.872470358427065,1.7948268487004138,4.214537591814184,2.2897422297278065,4.311501975900287,6.931839689130654,2.3560862680940278,0.4675629055990297,1.6177152911365271,0.7131668338484679,2.4558580342280245,1.0886076215230869,4.8486951310352175,3.8484613260603293,4.1862828914044306,1.4389499059202804,3.357904015499945,3.0162882203744483,4.953532827768035
2019-10-18-14,2.907896577894616,1.2268117478082015,3.338540880336652,3.566487403744054,1.4117250930969818,5.5679496598407585,1.9772735145380582,4.16623553601733,1.605738403391414,3.2524864681554706,6.8971606077941745,2.4238007905263097,3.4095068316713433,1.3868607482244912,0.5316083720982866,2.0363467209389854,1.0519331208940053,4.942526022319597,3.123550096722549,3.285295461628307,1.3844084190447987,2.7324581587336927,0.612111796618625,5.47259641792775
2019-10-18-15,1.7090000520454518,1.1318746721045039,3.251086362869159,4.7241076570305705,1.5833977973171354,5.691012521567569,1.964175806904266,4.468640957167139,1.3282782868017409,3.1500443998298393,6.840753641408584,1.8207809816339626,2.73418501241481,1.9031126822770683,0.7078707913076173,1.128294283006819,1.1390018108890512,4.217253261775453,2.667332914292792,2.8133428741963837,1.2361023261101847,3.075947284876014,1.1282881936914981,4.838059624416221
2019-10-18-16,3.8149856219444187,1.6871677962952858,3.5518454020705335,5.225424953986998,1.407847769222667,5.364244141512288,2.1381605967709567,4.670268065993991,1.7159506059613636,4.540420225985062,5.754621225448262,1.9317916216216757,2.9228561774756825,2.0507943961438904,0.9760102705226634,1.393619073261738,1.3698292696022383,4.190337731184935,2.4283927988258744,3.0549614479185654,1.1060678700499058,1.9162706296203242,1.4923843348023709,4.711786938868897
2019-10-18-17,4.352324898746027,2.096319055054182,3.1503445119295685,6.571261777733548,0.7602410028471486,7.1240346495732885,0.9956464921269903,3.637033077865093,1.4872228188400798,3.570778850033032,4.855429612500443,2.315369833603494,2.1754618208487706,1.322112832365772,0.6299420867825598,1.3261928965172278,1.0325624640867963,2.142202180456941,2.8973326213319215,2.9161565404961127,1.176561648154747,1.4481738803225217,2.5967291115366997,4.855677295023797
2019-10-18-18,5.164895098015143,1.7188822429448931,2.631229377683107,5.960864690119733,0.7259008029304981,7.0308118404510545,1.6328713386536118,4.404759018113818,1.0129985378946755,3.2545967667418667,4.743209032838964,0.46150243019747833,2.230674361173911,0.3050498793868268,0.8069502488669587,1.4028215645388356,1.264094278780238,2.546593044541296,2.8444856360560267,2.7914330960731304,1.4087359723848065,1.14108089045371,0.6153283403331856,4.474530392432431
