,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-12-21-00,16.337310791015625,18.908782958984375,16.4862060546875,19.646514892578125,19.445037841796875,18.71124267578125,19.27069091796875,19.220550537109375,20.298248291015625,19.41729736328125,19.33953857421875,19.520599365234375,20.129913330078125,18.383636474609375,11.128204345703125,19.24847412109375,3.63348388671875,21.11962890625,19.679290771484375,19.45867919921875,21.84539794921875,20.803253173828125,21.698394775390625,23.547576904296875
2019-12-21-01,16.97430419921875,19.554534912109375,16.683074951171875,20.015777587890625,20.154388427734375,18.928558349609375,19.65411376953125,20.206451416015625,21.5948486328125,21.8116455078125,19.05859375,20.92144775390625,21.515625,19.129974365234375,12.09716796875,21.08087158203125,4.5413818359375,21.9884033203125,21.137603759765625,21.04742431640625,23.291473388671875,22.41217041015625,23.59552001953125,24.55108642578125
2019-12-21-02,17.264495849609375,20.51220703125,17.04718017578125,20.532257080078125,21.6514892578125,19.244110107421875,20.87139892578125,20.903717041015625,22.36285400390625,21.722137451171875,20.835205078125,22.82049560546875,22.958221435546875,20.2003173828125,12.27301025390625,22.7481689453125,4.81964111328125,22.468414306640625,22.94683837890625,22.94683837890625,23.647186279296875,23.677642822265625,23.5682373046875,25.728179931640625
2019-12-21-03,17.995269775390625,19.6177978515625,17.333343505859375,20.5966796875,22.8011474609375,19.334075927734375,22.238128662109375,21.874725341796875,23.539703369140625,21.4481201171875,20.521484375,24.37255859375,23.8359375,21.539215087890625,12.4603271484375,24.514068603515625,4.886688232421875,22.690673828125,24.8663330078125,24.693511962890625,24.3514404296875,24.802001953125,23.760009765625,26.0589599609375
2019-12-21-04,17.6910400390625,20.0289306640625,17.6910400390625,21.132415771484375,23.841949462890625,19.217254638671875,22.700927734375,21.098052978515625,24.254150390625,22.29791259765625,20.035614013671875,24.532440185546875,24.285186767578125,21.848724365234375,11.924102783203125,25.8316650390625,4.57720947265625,22.82525634765625,25.92376708984375,25.497222900390625,24.6297607421875,25.778472900390625,23.59173583984375,26.3682861328125
2019-12-21-05,16.90899658203125,19.99981689453125,17.886993408203125,20.323486328125,23.74285888671875,18.1868896484375,21.74176025390625,20.294586181640625,23.911834716796875,21.984283447265625,20.0093994140625,24.005584716796875,24.31317138671875,21.24432373046875,11.149566650390625,26.397216796875,4.669464111328125,22.62164306640625,27.2452392578125,25.450439453125,24.386688232421875,26.5235595703125,23.357635498046875,25.982757568359375
2019-12-21-06,16.279144287109375,19.751678466796875,17.628387451171875,20.59857177734375,22.873138427734375,17.8175048828125,22.2686767578125,20.268707275390625,23.062469482421875,22.036712646484375,17.990325927734375,24.92156982421875,24.01776123046875,21.158599853515625,11.004425048828125,26.03790283203125,4.499298095703125,22.6419677734375,26.53857421875,25.3692626953125,24.336639404296875,27.04644775390625,22.80413818359375,25.835968017578125
2019-12-21-07,15.97515869140625,18.809814453125,17.160247802734375,20.017822265625,22.385223388671875,17.505157470703125,20.268524169921875,18.8763427734375,22.914794921875,21.639007568359375,17.958953857421875,23.15740966796875,23.7305908203125,20.810333251953125,10.8095703125,25.097076416015625,4.2314453125,22.44659423828125,25.96820068359375,24.778411865234375,23.8299560546875,25.338775634765625,22.44586181640625,25.126739501953125
2019-12-21-08,15.33514404296875,18.952484130859375,16.5814208984375,19.157958984375,21.527130126953125,17.808807373046875,20.1614990234375,18.846099853515625,22.277740478515625,21.039337158203125,17.983306884765625,22.78948974609375,23.05303955078125,20.012115478515625,10.9656982421875,24.24359130859375,3.71856689453125,21.877197265625,25.254150390625,23.694854736328125,23.152069091796875,25.502166748046875,22.27435302734375,24.098052978515625
2019-12-21-09,15.123077392578125,18.66522216796875,16.557098388671875,19.0125732421875,20.70196533203125,17.72869873046875,19.641387939453125,18.61456298828125,21.487457275390625,20.7503662109375,18.054931640625,21.332672119140625,22.28912353515625,16.896392822265625,8.4122314453125,22.999359130859375,0.545318603515625,21.468597412109375,24.104888916015625,22.3271484375,22.609710693359375,24.71087646484375,21.860626220703125,23.029266357421875
2019-12-21-10,14.640106201171875,18.8187255859375,15.843353271484375,18.87890625,20.39996337890625,18.1650390625,19.81329345703125,18.3460693359375,21.208709716796875,20.80291748046875,18.126220703125,20.359710693359375,21.643798828125,17.16632080078125,9.171966552734375,21.575347900390625,0.274322509765625,21.5943603515625,23.006134033203125,21.351776123046875,22.21453857421875,23.89239501953125,21.797821044921875,21.69561767578125
2019-12-21-11,14.792388916015625,18.626617431640625,15.744537353515625,18.839202880859375,20.248321533203125,18.24066162109375,19.509185791015625,18.687591552734375,21.10888671875,20.938201904296875,18.2520751953125,20.3740234375,21.166900634765625,16.22821044921875,8.869384765625,20.88818359375,0.304840087890625,21.754119873046875,22.153564453125,20.700958251953125,21.98553466796875,23.503692626953125,21.721771240234375,21.713897705078125
2019-12-21-12,14.87725830078125,18.812652587890625,15.63446044921875,19.021575927734375,20.256805419921875,18.052337646484375,19.367340087890625,18.760955810546875,20.602783203125,20.4989013671875,18.424468994140625,20.47381591796875,21.07989501953125,16.987762451171875,8.084320068359375,20.710968017578125,0.47918701171875,21.5206298828125,21.567047119140625,20.0469970703125,21.875579833984375,23.440765380859375,21.823944091796875,21.502166748046875
2019-12-21-13,14.732247314453126,18.507503662109375,15.682912597656252,19.038653564453124,19.870645751953123,17.997471923828126,19.7843896484375,18.730191650390626,20.481417236328124,20.200766601562503,18.7310986328125,20.229068603515625,20.820948486328128,16.45483642578125,7.507445068359376,20.06854248046875,0.37578857421875,21.146192626953127,21.22831787109375,20.01726318359375,21.80921630859375,23.009423828125,21.620003662109376,21.567797851562503
2019-12-21-14,14.826780700683592,18.269112854003907,15.771981201171876,18.806038208007813,19.471648864746093,18.358395385742188,19.392087707519533,18.482703552246093,20.223383483886717,20.088239440917967,19.02376312255859,19.482034912109377,20.732459411621093,15.946004333496093,7.290617370605469,19.808701171875,0.44597381591796875,20.948019104003905,20.91373596191406,19.275771179199218,21.737408752441404,22.683373107910153,21.752415771484372,21.710382995605467
2019-12-21-15,14.556884765625,18.474517822265625,15.684967041015625,18.761138916015625,19.141868591308594,18.37580108642578,19.213699340820312,18.366317749023438,19.70978546142578,20.11084747314453,18.758026123046875,19.04265594482422,20.58649444580078,15.502342224121094,6.8419647216796875,19.55919647216797,-0.06557464599609375,21.078353881835938,20.54638671875,19.349594116210938,21.510284423828125,22.204750061035156,21.865707397460938,21.62468719482422
2019-12-21-16,14.581622009277346,18.515106201171875,15.225691528320315,18.42320770263672,19.008614501953126,18.33013946533203,19.132661743164064,18.311788024902345,19.654298400878908,20.094096679687503,18.576220703125003,18.580207214355468,20.432034301757813,15.777696838378908,6.877347106933594,19.34303680419922,0.17384674072265627,21.16365173339844,20.18090728759766,19.210602111816407,21.609788818359377,21.95821258544922,21.944581298828126,21.44486785888672
