,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-03-07-00,65.21251801840452,54.250436322842745,42.62965962816949,65.20812164322041,74.07770377834132,54.75563869699752,70.8339154771254,34.011864827807415,43.359305316054645,10.808719300226699,34.245942206059,341.514023164365,8.415041337410685,4.056847501672223,96.27632116664577,4.044255133527884,124.50434645596795,24.71481183321532,13.019088944963528,14.134933617664473,334.6043626007065,356.987414996092,143.51225484353986,49.70003040959932
2019-03-07-01,69.64039491547976,48.9649395166675,38.69082595907577,32.40298670588464,92.70917386998673,56.4153895362154,60.77268916465806,50.63307532154951,39.499872554589984,254.6887185436253,11.97215612187108,350.763801539705,20.414934064142898,12.366522813292931,337.0543580030069,345.52321101601933,154.2768742902852,22.420673217890055,358.0548946520528,359.07562181273636,336.98770432445787,12.458783769205866,83.77557460435827,50.767068779775855
2019-03-07-02,48.47598186431412,46.16042870840562,40.524694221562385,50.34810610820716,71.25952613465228,53.7272647028102,69.77592218582461,34.02184866021642,33.8465815442824,232.68902896497437,29.326087514229584,357.11596049419256,23.489629707076745,248.4753243870853,332.80560354036146,340.7868479196554,138.51243092636778,32.94059691009451,349.9133775907276,338.73374055195893,348.8742749659399,329.22908121109896,31.360832074092713,59.05257504370053
2019-03-07-03,44.34912148209543,66.23973337780154,41.03808778651904,34.13511405759431,73.44943980314093,55.74550490550837,70.4067083724558,41.11214265323957,43.264187742622994,310.1691383288447,31.51785778288675,15.050776005167506,33.96545022479842,336.5714930439995,333.4341665623265,345.7336639067973,143.6052677899431,28.681473549495905,347.65986208403945,340.580773685838,145.9649419421778,295.4650220794955,30.26852077871075,56.01326955035836
2019-03-07-04,67.39895629730327,50.953742945624754,43.86497847959416,52.62551426464796,85.14496951501405,54.24280954130765,61.674073744419445,47.050765131229724,40.78172055988935,208.0788534491993,22.18500316184179,338.1212846325278,25.262922826069996,319.58998752131623,322.4484994082942,4.328701429101045,145.9504942102903,18.16503176623371,4.164657878711864,352.97206325328074,299.89149789052533,308.88904096886444,30.643176747490287,54.028358600402015
2019-03-07-05,78.68605200491709,65.95094779941181,41.26216736177048,50.090270027862914,80.34331053246561,57.59332502748916,69.12533412586299,50.230386895201434,42.61178349830351,239.51143776388355,16.183490180906915,21.658563491113796,38.343846257793416,282.96493704688595,328.3008692256848,350.16476940739216,339.67816570658886,12.839085001080207,352.82299341917974,352.82299341917974,62.228457036583166,314.9658973774624,27.176957964597108,56.60660648266585
2019-03-07-06,60.434442600224145,45.58606900147936,39.7524826424181,41.62462137741946,80.90197957384484,59.158230896382236,84.37548733635492,37.48935198342113,57.941174457233075,268.9805055337904,33.213630713852496,338.8661965429059,38.26353555088616,104.47654930278262,325.14092774991985,352.2035752358886,354.4127677124063,16.080767975227076,356.9073554349502,349.9183634541674,53.926426487350824,321.42121215909754,28.693930618022762,53.04390411732041
2019-03-07-07,49.76656551865432,40.74960360943314,41.82047167483492,35.204095449045724,71.48939982659525,60.159554044652396,67.43605101594602,51.25010875907083,52.72816754773851,232.0213057434424,39.91882480167453,352.67929810975505,35.25991803872432,120.9739243874321,319.1433643970834,27.771163339275574,344.9856966433521,19.305760205646095,9.576315821789365,11.732791605519196,56.611127333373844,312.9400827477221,28.704423966906006,55.96418500058712
2019-03-07-08,74.71089743609923,49.163572056690725,51.30286284895891,49.696450462801124,69.31491672521136,59.35185657314943,69.84806102296639,42.27512132887216,52.12514546968512,296.4769247439475,25.945767401826572,325.7121077867224,35.97446755812422,138.24698544327447,100.625366847809,329.37476962338934,123.87875324992822,20.09372939806252,7.2799455581114785,8.218044735204785,84.00171293747502,350.0459535847839,28.00189246790538,52.868693400458966
2019-03-07-09,47.780129235306845,47.60278049504265,46.64723538852945,38.57615208081174,70.93496968528905,61.5070170853686,79.58593321722043,43.28618214714717,40.25866815373331,284.75924733448096,34.812998172376155,340.3510463462329,31.28175400197938,152.39048728767358,48.493146112678176,330.83688679637646,304.97705649487375,8.620387651180238,358.8762947125767,10.471666006946464,155.61817895421228,1.156393284820524,28.988878791332098,49.287764388183376
