,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-12-19-00,2.654793537234445,1.2311281724603376,2.4040859521483564,3.1738720741939335,4.429088409191623,6.929124225484267,2.944456492054658,2.069713323131399,0.8120846873360282,3.620133799446902,4.376136715789215,1.6075175743090913,1.663689253505437,0.2967759664363943,0.8948436888556045,2.4671544508482257,1.7128307538654974,1.7793975436973255,3.830310199238945,3.05932508825878,2.138849131073018,2.377118994206778,2.450592606685917,2.731110438838572
2019-12-19-01,1.503425877167142,3.5896763062170245,3.68834393709987,4.501561319858218,3.535175654684099,6.306742275149594,2.115853861774828,2.264845867589301,0.8611672955758306,4.507603242914303,4.887530050604008,1.433991785232157,3.2180981361420242,0.23405816504052798,1.6915638489695226,2.198368479555495,2.3284034449590774,1.9607462202665662,2.8295838935294784,3.3227037825749943,0.6051184717958497,2.292506958644558,3.557536795854562,3.8177103740189384
2019-12-19-02,2.7774438140963285,3.454478291092325,4.266451861501928,4.312996343688108,5.477249012789043,8.183339670023225,3.3599289036573765,4.000618842692498,1.2834652763598542,3.2925277036535787,4.68096992664775,1.674905492432209,2.759966447552074,0.48813640368105954,0.8608410674201544,1.9616606241884662,2.2963676026086,2.4802329433599697,3.057538769433092,3.1403701616881103,2.8300386629609187,2.6310602370425156,3.9918638129025874,4.508002431828435
2019-12-19-03,4.91818201858503,3.5928499820593176,4.431944961655503,5.089264781762719,6.000040048746324,8.640437966208935,4.3528523262919485,4.053675727037528,2.4525486486536785,0.4454740537398539,7.101775056871133,1.7329870085501544,2.413336895479074,0.6596990170269823,1.378296646034909,1.2002890142907494,2.790696715275614,3.065757954684677,2.8168152769097192,3.1160173867701983,2.810478740585112,2.551398722664286,4.342495638135752,3.2158270649420384
2019-12-19-04,5.640243183336925,3.7405908319803447,4.518310277762082,4.192953854910879,5.680121474000972,8.170331831866458,4.200262853186027,4.985572183123561,4.535180699949887,2.5673577581394986,7.254576921009602,3.637736093107733,3.668672805710076,1.8258140659485929,1.4169525253387298,2.3111493154935223,3.1002940494698694,3.048208834768079,2.6733218964855197,2.8029867989203,3.0837133855086183,2.1394703826584425,3.8986340389855214,2.0206185838601827
2019-12-19-05,5.130725375243298,2.8638660421546756,5.141066985560347,5.741599114038972,5.858525569492502,7.502588748515843,4.796649631868099,3.666797684423665,4.068644306495143,1.6610918365403635,8.861888195605852,3.9254382040999727,3.9112844654309957,2.3656145396298593,1.8578188992519442,2.918193745220218,3.150534551338768,3.361863835687623,4.440372882771081,4.734353728837096,3.408270198873686,3.8418385605153746,3.8706317962752532,3.877890274038439
2019-12-19-06,4.739771544639065,3.7092046631167395,4.894544708076201,5.3747732101890024,5.83110378706445,6.819617776097814,4.378701664726802,5.65873014523812,3.74031117822795,2.6085321959425856,8.640933266851489,4.3745638443956025,5.839454285112571,2.2895244659247336,1.2557396091767443,4.036677037940102,3.290601873455704,4.1576492287166875,5.293322608369311,5.584867367858798,3.9934572269359276,4.007457113132874,3.7915248601303024,3.5516003175354007
2019-12-19-07,4.568949816838664,4.863606764090537,3.4447286747864054,5.294665750527004,3.6515092710536177,6.5893981511043265,2.974837178298481,5.370322642504555,3.989247375686387,3.199287872079809,8.189882645706115,5.2170226407048315,5.793564684326312,1.7344873412557735,1.472574025769298,4.923816029265192,2.6358517966590482,3.675398250962452,4.898228779489825,4.950958077592972,3.9744003152423595,4.754634771485013,3.0209586401740505,3.1226805023586146
2019-12-19-08,4.4981801747102095,5.524208342861016,5.189409969321615,5.130891798265208,2.3253664601455957,7.042401122331068,2.97492656300648,5.215192769305576,3.156645367277147,2.0245070002360674,7.526702326301469,4.268736666075122,5.113264304975714,1.1549754375023769,0.9267168714272049,4.7293402769339385,2.1388223077795026,3.44717162295494,5.604341060801389,5.848036013660425,3.079777737176825,4.148529104432257,2.34805208823954,2.3434287813311685
2019-12-19-09,4.7493986184555546,4.544246313289411,6.3710764013103445,4.2064235649507165,3.2775556804311456,6.837046138248147,3.3846460436943575,3.983916458292982,1.7153854398945154,3.757042564079349,7.6326259240656675,3.922842032589683,5.43832639973484,1.2657061572235024,0.7474082782863133,4.192843710015462,2.310713824835477,2.6455166947563677,5.556117109389967,4.844411003334497,1.97134904863014,3.2082786138385293,2.302019624686025,1.8990906066234423
2019-12-19-10,4.674630967922745,4.750481843988719,6.357206473751783,5.516204651618763,2.973529052597078,6.506017993455422,3.106372404365547,3.6033713516487764,1.1720802217917425,2.395342006763962,6.8959299046283835,3.6479290609606756,4.15340796375019,1.5873457790068701,0.5747981564776875,4.127078230162159,1.2953027849187222,4.073982683078778,5.097454492713309,5.247163884149105,2.426968557961247,4.696456145787038,2.680749726948951,0.9740586461120673
2019-12-19-11,4.947995294606677,4.7951875925292855,5.609125009144061,6.215753828720739,4.107053800996428,9.235955539843463,1.8881435611790887,3.12059193204265,1.3641401948885667,2.4967842629591144,7.3681748433516345,3.7755759175764307,4.37655396970831,0.9026301067304567,1.1453383775484054,4.523727843039321,1.6348197222437788,3.937343414388835,4.912701219246775,5.222790049916716,3.3668009222617106,3.0571136647772645,2.7896196074109447,2.062556096808214
2019-12-19-12,4.418744117052306,5.1376204988000405,6.938163507881123,6.318859364126713,4.558812217727253,7.413716685553422,1.3932491022740896,3.5770869849715305,3.4013987246811483,4.803801235952183,8.187063097046419,3.3868135077939563,4.892457910513233,0.7109854656359856,0.4385580677798338,3.9681705744334983,2.297283622424034,4.161343993580423,5.098788421692209,4.973757331271212,4.072645388942527,2.744660442410232,3.4353176711703113,1.5462867488173824
2019-12-19-13,5.433444613059958,3.851293492731139,7.8194976809020265,4.1900509650117925,4.056349076435032,8.48923043856492,2.8103421548886636,4.839049556715509,2.214502810466984,2.8319782576890824,8.800830543053914,2.737297376703439,6.659983965095822,1.063492320686283,1.2118241099103577,3.706103323032087,2.0781899949218436,5.313194837105355,5.529201022156341,5.425208142219634,3.3070640262151323,2.424213436820873,5.945281455889578,2.3461390947038465
2019-12-19-14,5.2321951928474535,4.008741023279061,6.7676536679061,4.7273904316221875,4.253124809674219,8.840673093631551,2.9836788615146803,4.051365607517891,2.6070290081915317,4.226234685817369,6.489311147916099,2.701682561057792,6.72129732869397,0.9624009698813195,1.4106735284128484,3.26495653549288,2.580863070586617,4.565320366854697,4.964277964801988,5.094416696598558,3.7817609840883297,2.797097244721077,4.5067668239251875,3.3124554059470306
2019-12-19-15,2.4565784567682694,1.8177759312746886,7.2851288342891705,4.7566994061341585,3.694567472494067,9.502660145424093,2.7673627100097073,3.836417065501662,2.9205529357566276,2.094619837077969,6.043869703825344,2.6118719035380717,5.369251370771662,0.6318714702789908,0.6130288074994773,2.764305665510958,2.7942900561173682,4.492770338901265,5.21501588013157,5.117889944767573,4.544889306375211,3.5912603982489384,4.566639039772808,3.8275247585319354
