,stID,en_name,ch_name,lat,lon
0,466880,Banciao,板橋,25.01297,121.45867
1,466900,Danshuei,淡水,25.1645,121.44924
2,466910,Anbu,鞍部,25.1826,121.5297
3,466920,Taipei,台北,25.0377,121.5149
4,466930,Zhuzihu,竹子湖,25.1621,121.5445
5,466940,Keelung,基隆,25.12917,121.76006
6,466990,Hualien,花蓮,23.97131,121.59977
7,467050,Shinwu,新屋,25.0067,121.0475
8,467060,Suao,蘇澳,24.5967,121.8574
9,467080,Yilan,宜蘭,24.74792,121.74639
10,467410,Tainan,台南,22.98458,120.20262
11,467420,Yongkang,永康,23.0384,120.2367
12,467440,Kaohsiung,高雄,22.5660,120.3157
13,467480,Chiayi,嘉義,23.46278,120.44083
14,467490,Taichung,台中,24.1457,120.6841
15,467530,Alishan,阿里山,23.5082,120.8132
16,467540,Dawu,大武,22.3557,120.9038
17,467550,Yushan,玉山,23.4876,120.9595
18,467571,Hsinchu,新竹,24.80562,120.97208
19,467590,Hengchun,恆春,21.95807,120.78893
20,467610,Chenggong,成功,23.0975,121.3734
21,467650,SunMoonLake,日月潭,23.8813,120.9081
22,467660,Taitung,台東,22.75536,121.15045
23,467770,Wuqi,梧棲,24.2560,120.5234
